ID,Description,BgRatio,pvalue,padjust,qvalue,geneID,gene_name,rankScore,Count
hsa05222,Small cell lung cancer,92/8081,3.23E-06,2.22E-05,7.71E-06,207/7157/5743/836/4843/596,"AKT1,TP53,PTGS2,CASP3,NOS2,BCL2",0.225086368,6
hsa01522,Endocrine resistance,98/8081,4.68E-06,3.11E-05,1.08E-05,207/7157/4318/5594/4313/596,"AKT1,TP53,MMP9,MAPK1,MMP2,BCL2",0.224856951,6
hsa04370,VEGF signaling pathway,59/8081,6.36E-06,4.10E-05,1.42E-05,207/7422/5743/5594/4846,"AKT1,VEGFA,PTGS2,MAPK1,NOS3",0.208657005,5
hsa04625,C-type lectin receptor signaling pathway,104/8081,6.61E-06,4.13E-05,1.43E-05,3569/207/3553/5743/3586/5594,"IL6,AKT1,IL1B,PTGS2,IL10,MAPK1",0.261521377,6
hsa04931,Insulin resistance,108/8081,8.23E-06,4.99E-05,1.73E-05,3569/3630/207/6774/4846/948,"IL6,INS,AKT1,STAT3,NOS3,CD36",0.239674163,6
hsa05321,Inflammatory bowel disease,65/8081,1.03E-05,6.06E-05,2.11E-05,3569/6774/3553/3586/3458,"IL6,STAT3,IL1B,IL10,IFNG",0.207484416,5
hsa04152,AMPK signaling pathway,120/8081,1.51E-05,8.64E-05,3.00E-05,3630/207/5468/3156/1080/948,"INS,AKT1,PPARG,HMGCR,CFTR,CD36",0.166223932,6
hsa01524,Platinum drug resistance,73/8081,1.82E-05,0.000101488,3.53E-05,207/7157/5594/836/596,"AKT1,TP53,MAPK1,CASP3,BCL2",0.164957189,5
hsa05202,Transcriptional misregulation in cancer,192/8081,2.16E-05,0.000116863,4.06E-05,3569/7157/3576/4318/5468/4353/4314,"IL6,TP53,CXCL8,MMP9,PPARG,MPO,MMP3",0.255347891,7
hsa05212,Pancreatic cancer,76/8081,2.22E-05,0.000117258,4.07E-05,207/6774/7422/7157/5594,"AKT1,STAT3,VEGFA,TP53,MAPK1",0.196040945,5
hsa05169,Epstein-Barr virus infection,202/8081,2.99E-05,0.000154123,5.36E-05,3569/207/6774/7157/3383/836/596,"IL6,AKT1,STAT3,TP53,ICAM1,CASP3,BCL2",0.241815489,7
hsa05010,Alzheimer disease,369/8081,3.12E-05,0.000156801,5.45E-05,3569/3630/207/3553/5743/5594/836/4843/4023,"IL6,INS,AKT1,IL1B,PTGS2,MAPK1,CASP3,NOS2,LPL",0.318404918,9
hsa04915,Estrogen signaling pathway,138/8081,3.35E-05,0.000164073,5.70E-05,207/4318/5594/4846/4313/596,"AKT1,MMP9,MAPK1,NOS3,MMP2,BCL2",0.184300318,6
hsa05210,Colorectal cancer,86/8081,4.05E-05,0.000193952,6.74E-05,207/7157/5594/836/596,"AKT1,TP53,MAPK1,CASP3,BCL2",0.15333889,5
hsa04211,Longevity regulating pathway,89/8081,4.78E-05,0.000223675,7.77E-05,3630/207/7157/5468/847,"INS,AKT1,TP53,PPARG,CAT",0.180662899,5
hsa04932,Non-alcoholic fatty liver disease,150/8081,5.35E-05,0.000244885,8.51E-05,3569/3630/207/3576/3553/836,"IL6,INS,AKT1,CXCL8,IL1B,CASP3",0.225650952,6
hsa04218,Cellular senescence,156/8081,6.66E-05,0.000298329,0.000103661,3569/207/7157/3576/5594/5054,"IL6,AKT1,TP53,CXCL8,MAPK1,SERPINE1",0.209187421,6
hsa05160,Hepatitis C,157/8081,6.90E-05,0.00030258,0.000105138,207/6774/7157/5594/836/3458,"AKT1,STAT3,TP53,MAPK1,CASP3,IFNG",0.20047428,6
hsa04630,JAK-STAT signaling pathway,162/8081,8.22E-05,0.00035278,0.000122581,3569/207/6774/3586/3458/596,"IL6,AKT1,STAT3,IL10,IFNG,BCL2",0.184010433,6
hsa04620,Toll-like receptor signaling pathway,104/8081,0.000100722,0.000414977,0.000144192,3569/207/3576/3553/5594,"IL6,AKT1,CXCL8,IL1B,MAPK1",0.172427882,5
hsa04660,T cell receptor signaling pathway,104/8081,0.000100722,0.000414977,0.000144192,207/3586/5594/3458/959,"AKT1,IL10,MAPK1,IFNG,CD40LG",0.145426752,5
hsa05132,Salmonella infection,249/8081,0.000113092,0.000456705,0.000158692,3569/207/3576/3553/5594/836/596,"IL6,AKT1,CXCL8,IL1B,MAPK1,CASP3,BCL2",0.20944942,7
hsa04659,Th17 cell differentiation,107/8081,0.000115285,0.000456705,0.000158692,3569/6774/3553/5594/3458,"IL6,STAT3,IL1B,MAPK1,IFNG",0.164113851,5
hsa05134,Legionellosis,57/8081,0.000123548,0.000480205,0.000166857,3569/3576/3553/836,"IL6,CXCL8,IL1B,CASP3",0.132485325,4
hsa04621,NOD-like receptor signaling pathway,181/8081,0.000151643,0.000578489,0.000201008,3569/6347/3576/3553/5594/596,"IL6,CCL2,CXCL8,IL1B,MAPK1,BCL2",0.171952118,6
hsa04151,PI3K-Akt signaling pathway,354/8081,0.000158346,0.000593077,0.000206077,3569/3630/207/7422/7157/5594/4846/596,"IL6,INS,AKT1,VEGFA,TP53,MAPK1,NOS3,BCL2",0.240806791,8
hsa04071,Sphingolipid signaling pathway,119/8081,0.000190346,0.000700203,0.0002433,207/7157/5594/4846/596,"AKT1,TP53,MAPK1,NOS3,BCL2",0.129829787,5
hsa05221,Acute myeloid leukemia,67/8081,0.000232028,0.000838557,0.000291374,207/6774/5594/4353,"AKT1,STAT3,MAPK1,MPO",0.118860741,4
hsa05130,Pathogenic Escherichia coli infection,197/8081,0.000240705,0.000854916,0.000297058,3569/3576/3553/5594/836/2147,"IL6,CXCL8,IL1B,MAPK1,CASP3,F2",0.168094271,6
hsa04380,Osteoclast differentiation,128/8081,0.000267641,0.000934477,0.000324703,207/3553/5468/5594/3458,"AKT1,IL1B,PPARG,MAPK1,IFNG",0.141898817,5
hsa04917,Prolactin signaling pathway,70/8081,0.000274855,0.00094367,0.000327897,3630/207/6774/5594,"INS,AKT1,STAT3,MAPK1",0.127039604,4
hsa05223,Non-small cell lung cancer,72/8081,0.00030639,0.001034694,0.000359526,207/6774/7157/5594,"AKT1,STAT3,TP53,MAPK1",0.119399768,4
hsa04010,MAPK signaling pathway,294/8081,0.000315962,0.001039962,0.000361356,3630/207/7422/7157/3553/5594/836,"INS,AKT1,VEGFA,TP53,IL1B,MAPK1,CASP3",0.207746103,7
hsa04060,Cytokine-cytokine receptor interaction,295/8081,0.000322573,0.001039962,0.000361356,3569/6347/3576/3553/3586/3458/959,"IL6,CCL2,CXCL8,IL1B,IL10,IFNG,CD40LG",0.19184289,7
hsa04115,p53 signaling pathway,73/8081,0.000323095,0.001039962,0.000361356,7157/836/5054/596,"TP53,CASP3,SERPINE1,BCL2",0.088690549,4
hsa04210,Apoptosis,136/8081,0.000354602,0.001123817,0.000390493,207/7157/5594/836/596,"AKT1,TP53,MAPK1,CASP3,BCL2",0.121822664,5
hsa04371,Apelin signaling pathway,137/8081,0.000366818,0.001144918,0.000397825,207/5594/4846/5054/4843,"AKT1,MAPK1,NOS3,SERPINE1,NOS2",0.127696799,5
hsa03320,PPAR signaling pathway,76/8081,0.000377133,0.001159542,0.000402907,5468/4312/4023/948,"PPARG,MMP1,LPL,CD36",0.071516829,4
hsa04072,Phospholipase D signaling pathway,148/8081,0.000523303,0.001585299,0.000550845,3630/207/3576/5594/2147,"INS,AKT1,CXCL8,MAPK1,F2",0.131977153,5
hsa05226,Gastric cancer,149/8081,0.000539684,0.00161123,0.000559855,207/7157/5594/5243/596,"AKT1,TP53,MAPK1,ABCB1,BCL2",0.101066398,5
hsa05216,Thyroid cancer,37/8081,0.000616825,0.001815227,0.000630738,7157/5468/5594,"TP53,PPARG,MAPK1",0.076612579,3
hsa05330,Allograft rejection,38/8081,0.00066759,0.00193695,0.000673033,3586/3458/959,"IL10,IFNG,CD40LG",0.062929134,3
hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,89/8081,0.000687904,0.001968171,0.000683882,207/6774/5594/3458,"AKT1,STAT3,MAPK1,IFNG",0.104019343,4
hsa05131,Shigellosis,246/8081,0.000787705,0.002222839,0.000772371,207/7157/3576/3553/5594/596,"AKT1,TP53,CXCL8,IL1B,MAPK1,BCL2",0.137766667,6
hsa05332,Graft-versus-host disease,42/8081,0.00089711,0.002497361,0.00086776,3569/3553/3458,"IL6,IL1B,IFNG",0.077303449,3
hsa04940,Type I diabetes mellitus,43/8081,0.000961363,0.002640544,0.000917511,3630/3553/3458,"INS,IL1B,IFNG",0.076488995,3
hsa04061,Viral protein interaction with cytokine and cytokine receptor,100/8081,0.001065829,0.002888956,0.001003827,3569/6347/3576/3586,"IL6,CCL2,CXCL8,IL10",0.102934931,4
hsa05022,Pathways of neurodegeneration - multiple diseases,475/8081,0.001141322,0.003053407,0.001060969,3569/3553/5743/5594/836/847/4843/596,"IL6,IL1B,PTGS2,MAPK1,CASP3,CAT,NOS2,BCL2",0.166714544,8
hsa04672,Intestinal immune network for IgA production,49/8081,0.001408391,0.003719598,0.001292451,3569/3586/959,"IL6,IL10,CD40LG",0.06507738,3
hsa04979,Cholesterol metabolism,50/8081,0.001493585,0.003894664,0.001353281,4023/1071/948,"LPL,CETP,CD36",0.028204735,3
hsa05168,Herpes simplex virus 1 infection,498/8081,0.001548638,0.003987742,0.001385623,3569/207/6347/7157/3553/836/3458/596,"IL6,AKT1,CCL2,TP53,IL1B,CASP3,IFNG,BCL2",0.17257374,8
hsa04062,Chemokine signaling pathway,192/8081,0.001688741,0.004294822,0.001492324,207/6774/6347/3576/5594,"AKT1,STAT3,CCL2,CXCL8,MAPK1",0.118006817,5
hsa04670,Leukocyte transendothelial migration,114/8081,0.001732835,0.00435322,0.001512616,4318/3383/7412/4313,"MMP9,ICAM1,VCAM1,MMP2",0.082650601,4
hsa04722,Neurotrophin signaling pathway,119/8081,0.002028758,0.005035229,0.001749594,207/7157/5594/596,"AKT1,TP53,MAPK1,BCL2",0.074830152,4
hsa04923,Regulation of lipolysis in adipocytes,57/8081,0.002181188,0.005349103,0.001858656,3630/207/5743,"INS,AKT1,PTGS2",0.072364026,3
hsa05213,Endometrial cancer,58/8081,0.002292947,0.005557025,0.001930903,207/7157/5594,"AKT1,TP53,MAPK1",0.066724127,3
hsa04611,Platelet activation,124/8081,0.002358063,0.005648384,0.001962648,207/5594/4846/2147,"AKT1,MAPK1,NOS3,F2",0.076980237,4
hsa05416,Viral myocarditis,60/8081,0.002527006,0.005983486,0.002079085,3383/836/959,"ICAM1,CASP3,CD40LG",0.052349371,3
hsa04213,Longevity regulating pathway - multiple species,62/8081,0.002775367,0.006496881,0.002257475,3630/207/847,"INS,AKT1,CAT",0.066841018,3
hsa04650,Natural killer cell mediated cytotoxicity,131/8081,0.002878708,0.006663076,0.002315223,5594/3383/836/3458,"MAPK1,ICAM1,CASP3,IFNG",0.075962529,4
hsa05166,Human T-cell leukemia virus 1 infection,219/8081,0.003001332,0.006869716,0.002387025,3569/207/7157/5594/3383,"IL6,AKT1,TP53,MAPK1,ICAM1",0.108849525,5
hsa04140,Autophagy - animal,137/8081,0.00338375,0.007659918,0.002661596,3630/207/5594/596,"INS,AKT1,MAPK1,BCL2",0.073121419,4
hsa05165,Human papillomavirus infection,331/8081,0.003580173,0.008016474,0.002785489,207/7422/7157/5743/5594/836,"AKT1,VEGFA,TP53,PTGS2,MAPK1,CASP3",0.120503806,6
hsa04920,Adipocytokine signaling pathway,69/8081,0.003761316,0.008242885,0.00286416,207/6774/948,"AKT1,STAT3,CD36",0.049016635,3
hsa05211,Renal cell carcinoma,69/8081,0.003761316,0.008242885,0.00286416,207/7422/5594,"AKT1,VEGFA,MAPK1",0.061848722,3
hsa05230,Central carbon metabolism in cancer,70/8081,0.003917426,0.00849463,0.002951634,207/7157/5594,"AKT1,TP53,MAPK1",0.061271116,3
hsa05218,Melanoma,72/8081,0.004241405,0.009101348,0.003162451,207/7157/5594,"AKT1,TP53,MAPK1",0.060384642,3
hsa00220,Arginine biosynthesis,22/8081,0.004448178,0.009446647,0.003282432,4846/4843,"NOS3,NOS2",0.031142979,2
hsa05214,Glioma,75/8081,0.004757208,0.009999845,0.003474652,207/7157/5594,"AKT1,TP53,MAPK1",0.059174888,3
hsa05220,Chronic myeloid leukemia,76/8081,0.004937211,0.010273388,0.0035697,207/7157/5594,"AKT1,TP53,MAPK1",0.058828112,3
hsa04217,Necroptosis,159/8081,0.005750408,0.01184584,0.004116081,6774/3553/3458/596,"STAT3,IL1B,IFNG,BCL2",0.060244649,4
hsa04022,cGMP-PKG signaling pathway,167/8081,0.00683094,0.013932412,0.004841104,3630/207/5594/4846,"INS,AKT1,MAPK1,NOS3",0.074561833,4
hsa05225,Hepatocellular carcinoma,168/8081,0.006974848,0.014086458,0.00489463,207/7157/5594/3162,"AKT1,TP53,MAPK1,HMOX1",0.069882834,4
hsa04976,Bile secretion,90/8081,0.007896827,0.015793655,0.005487831,3156/5243/1080,"HMGCR,ABCB1,CFTR",0.018896047,3
hsa01523,Antifolate resistance,31/8081,0.008725542,0.017118681,0.005948239,3569/3553,"IL6,IL1B",0.037938582,2
hsa05310,Asthma,31/8081,0.008725542,0.017118681,0.005948239,3586/959,"IL10,CD40LG",0.026443944,2
hsa04215,Apoptosis - multiple species,32/8081,0.009280577,0.018035839,0.006266924,836/596,"CASP3,BCL2",0.020434964,2
hsa04640,Hematopoietic cell lineage,99/8081,0.010250636,0.019734869,0.006857287,3569/3553/948,"IL6,IL1B,CD36",0.040574556,3
hsa04914,Progesterone-mediated oocyte maturation,100/8081,0.010534702,0.020093969,0.006982064,3630/207/5594,"INS,AKT1,MAPK1",0.053595978,3
hsa04960,Aldosterone-regulated sodium reabsorption,37/8081,0.012284069,0.023215764,0.008066796,3630/5594,"INS,MAPK1",0.033986878,2
hsa04510,Focal adhesion,201/8081,0.012916448,0.024188985,0.008404961,207/7422/5594/596,"AKT1,VEGFA,MAPK1,BCL2",0.052783145,4
hsa05203,Viral carcinogenesis,204/8081,0.013578393,0.02519954,0.0087561,6774/7157/5594/836,"STAT3,TP53,MAPK1,CASP3",0.060671245,4
hsa04725,Cholinergic synapse,113/8081,0.014647345,0.026940652,0.009361085,207/5594/596,"AKT1,MAPK1,BCL2",0.035755613,3
hsa04216,Ferroptosis,41/8081,0.0149523,0.02704524,0.009397426,7157/3162,"TP53,HMOX1",0.028137621,2
hsa04015,Rap1 signaling pathway,210/8081,0.014966783,0.02704524,0.009397426,3630/207/7422/5594,"INS,AKT1,VEGFA,MAPK1",0.065003816,4
hsa04726,Serotonergic synapse,115/8081,0.015350143,0.027435187,0.009532921,5743/5594/836,"PTGS2,MAPK1,CASP3",0.042238621,3
hsa05170,Human immunodeficiency virus 1 infection,212/8081,0.01544894,0.027435187,0.009532921,207/5594/836/596,"AKT1,MAPK1,CASP3,BCL2",0.049228152,4
hsa04935,"Growth hormone synthesis, secretion and action",119/8081,0.016812492,0.029601482,0.010285645,207/6774/5594,"AKT1,STAT3,MAPK1",0.046187987,3
hsa04919,Thyroid hormone signaling pathway,121/8081,0.017572153,0.030676809,0.01065929,207/7157/5594,"AKT1,TP53,MAPK1",0.044771268,3
hsa02010,ABC transporters,45/8081,0.017846834,0.030894519,0.010734938,5243/1080,"ABCB1,CFTR",0.009836176,2
hsa04930,Type II diabetes mellitus,46/8081,0.018604808,0.031938253,0.011097604,3630/5594,"INS,MAPK1",0.031105902,2
hsa04014,Ras signaling pathway,232/8081,0.020818782,0.035443547,0.012315591,3630/207/7422/5594,"INS,AKT1,VEGFA,MAPK1",0.060134618,4
hsa00330,Arginine and proline metabolism,51/8081,0.022594078,0.037840489,0.013148458,4846/4843,"NOS3,NOS2",0.021872956,2
hsa04913,Ovarian steroidogenesis,51/8081,0.022594078,0.037840489,0.013148458,3630/5743,"INS,PTGS2",0.029958669,2
hsa05322,Systemic lupus erythematosus,136/8081,0.023879197,0.039477467,0.01371726,3586/3458/959,"IL10,IFNG,CD40LG",0.032559669,3
hsa05014,Amyotrophic lateral sclerosis,364/8081,0.024018135,0.039477467,0.01371726,7157/836/847/4843/596,"TP53,CASP3,CAT,NOS2,BCL2",0.050931098,5
hsa05320,Autoimmune thyroid disease,53/8081,0.024280411,0.039477467,0.01371726,3586/959,"IL10,CD40LG",0.021011852,2
hsa04910,Insulin signaling pathway,137/8081,0.02433805,0.039477467,0.01371726,3630/207/5594,"INS,AKT1,MAPK1",0.044332909,3
hsa04550,Signaling pathways regulating pluripotency of stem cells,143/8081,0.027192053,0.04376221,0.015206082,207/6774/5594,"AKT1,STAT3,MAPK1",0.041058051,3
hsa05224,Breast cancer,147/8081,0.029190712,0.046614625,0.016197213,207/7157/5594,"AKT1,TP53,MAPK1",0.039394892,3
hsa04514,Cell adhesion molecules,149/8081,0.030218786,0.047885154,0.016638684,3383/7412/959,"ICAM1,VCAM1,CD40LG",0.031107367,3
hsa04261,Adrenergic signaling in cardiomyocytes,150/8081,0.030739999,0.048339235,0.016796464,207/5594/596,"AKT1,MAPK1,BCL2",0.029971911,3
