Category,ID,Description,BgRatio,pvalue,padjust,qvalue,geneID,gene_name,rankScore,Gene Count
BP,GO:0000302,response to reactive oxygen species,224/18493,9.77E-07,5.82E-05,2.09E-05,4137/836/4846/596/4353,"MAPT,CASP3,NOS3,BCL2,MPO",0.183297079,5
BP,GO:0097191,extrinsic apoptotic signaling pathway,224/18493,9.77E-07,5.82E-05,2.09E-05,836/2932/4846/596/581,"CASP3,GSK3B,NOS3,BCL2,BAX",0.175431302,5
BP,GO:0061458,reproductive system development,431/18493,1.02E-06,5.86E-05,2.10E-05,836/4846/596/581/5743/5468,"CASP3,NOS3,BCL2,BAX,PTGS2,PPARG",0.222216145,6
BP,GO:0051402,neuron apoptotic process,230/18493,1.11E-06,6.06E-05,2.18E-05,351/836/23621/596/581,"APP,CASP3,BACE1,BCL2,BAX",0.187414885,5
BP,GO:2000116,regulation of cysteine-type endopeptidase activity,232/18493,1.16E-06,6.06E-05,2.18E-05,4137/836/581/5743/5468,"MAPT,CASP3,BAX,PTGS2,PPARG",0.199887631,5
BP,GO:0052547,regulation of peptidase activity,442/18493,1.18E-06,6.06E-05,2.18E-05,351/4137/836/581/5743/5468,"APP,MAPT,CASP3,BAX,PTGS2,PPARG",0.249485799,6
BP,GO:0009314,response to radiation,443/18493,1.19E-06,6.06E-05,2.18E-05,351/836/23621/596/581/5743,"APP,CASP3,BACE1,BCL2,BAX,PTGS2",0.235143603,6
BP,GO:0008585,female gonad development,98/18493,1.29E-06,6.34E-05,2.28E-05,836/4846/596/581,"CASP3,NOS3,BCL2,BAX",0.139635296,4
BP,GO:0042136,neurotransmitter biosynthetic process,102/18493,1.51E-06,7.24E-05,2.60E-05,4846/43/4843/5743,"NOS3,ACHE,NOS2,PTGS2",0.14107447,4
BP,GO:0046545,development of primary female sexual characteristics,103/18493,1.57E-06,7.33E-05,2.63E-05,836/4846/596/581,"CASP3,NOS3,BCL2,BAX",0.137556118,4
BP,GO:1904646,cellular response to amyloid-beta,28/18493,1.72E-06,7.81E-05,2.80E-05,351/2932/23621,"APP,GSK3B,BACE1",0.115937601,3
BP,GO:0016049,cell growth,485/18493,2.02E-06,8.95E-05,3.21E-05,351/4137/2932/596/102/5468,"APP,MAPT,GSK3B,BCL2,ADAM10,PPARG",0.189077188,6
BP,GO:0001782,B cell homeostasis,30/18493,2.13E-06,9.19E-05,3.30E-05,836/596/581,"CASP3,BCL2,BAX",0.098383171,3
BP,GO:0048873,homeostasis of number of cells within a tissue,31/18493,2.35E-06,9.68E-05,3.47E-05,4846/596/581,"NOS3,BCL2,BAX",0.07401983,3
BP,GO:1904645,response to amyloid-beta,31/18493,2.35E-06,9.68E-05,3.47E-05,351/2932/23621,"APP,GSK3B,BACE1",0.11330586,3
BP,GO:1903409,reactive oxygen species biosynthetic process,115/18493,2.44E-06,9.80E-05,3.52E-05,4846/4353/4843/5743,"NOS3,MPO,NOS2,PTGS2",0.136884274,4
BP,GO:1901030,positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway,32/18493,2.60E-06,0.000101933,3.66E-05,2932/596/581,"GSK3B,BCL2,BAX",0.070672371,3
BP,GO:0046660,female sex differentiation,118/18493,2.70E-06,0.000102416,3.67E-05,836/4846/596/581,"CASP3,NOS3,BCL2,BAX",0.132717951,4
BP,GO:0048511,rhythmic process,276/18493,2.73E-06,0.000102416,3.67E-05,836/2932/4846/4843/5468,"CASP3,GSK3B,NOS3,NOS2,PPARG",0.185391697,5
BP,GO:0018105,peptidyl-serine phosphorylation,282/18493,3.03E-06,0.000111369,4.00E-05,351/2932/596/581/5743,"APP,GSK3B,BCL2,BAX,PTGS2",0.16122695,5
BP,GO:0043280,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,126/18493,3.51E-06,0.000126339,4.53E-05,4137/836/581/5468,"MAPT,CASP3,BAX,PPARG",0.140659149,4
BP,GO:0018209,peptidyl-serine modification,301/18493,4.17E-06,0.000146928,5.27E-05,351/2932/596/581/5743,"APP,GSK3B,BCL2,BAX,PTGS2",0.156319016,5
BP,GO:0033135,regulation of peptidyl-serine phosphorylation,135/18493,4.62E-06,0.000155348,5.57E-05,351/596/581/5743,"APP,BCL2,BAX,PTGS2",0.124258468,4
BP,GO:0009416,response to light stimulus,308/18493,4.66E-06,0.000155348,5.57E-05,351/836/596/581/5743,"APP,CASP3,BCL2,BAX,PTGS2",0.18072353,5
BP,GO:0009411,response to UV,136/18493,4.76E-06,0.000155348,5.57E-05,836/596/581/5743,"CASP3,BCL2,BAX,PTGS2",0.135929646,4
BP,GO:0043029,T cell homeostasis,39/18493,4.76E-06,0.000155348,5.57E-05,836/596/581,"CASP3,BCL2,BAX",0.092824129,3
BP,GO:0001666,response to hypoxia,314/18493,5.12E-06,0.00016387,5.88E-05,836/5328/596/4843/5743,"CASP3,PLAU,BCL2,NOS2,PTGS2",0.154257403,5
BP,GO:1901028,regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway,41/18493,5.55E-06,0.000174186,6.25E-05,2932/596/581,"GSK3B,BCL2,BAX",0.066552514,3
BP,GO:0062013,positive regulation of small molecule metabolic process,142/18493,5.64E-06,0.000174186,6.25E-05,4846/4843/5743/5468,"NOS3,NOS2,PTGS2,PPARG",0.130820879,4
BP,GO:2001056,positive regulation of cysteine-type endopeptidase activity,143/18493,5.80E-06,0.000175963,6.31E-05,4137/836/581/5468,"MAPT,CASP3,BAX,PPARG",0.135467701,4
BP,GO:0032496,response to lipopolysaccharide,324/18493,5.97E-06,0.000176634,6.34E-05,836/4846/4353/4843/5743,"CASP3,NOS3,MPO,NOS2,PTGS2",0.183781892,5
BP,GO:0036293,response to decreased oxygen levels,325/18493,6.06E-06,0.000176634,6.34E-05,836/5328/596/4843/5743,"CASP3,PLAU,BCL2,NOS2,PTGS2",0.152929917,5
BP,GO:0009408,response to heat,145/18493,6.13E-06,0.000176634,6.34E-05,4137/2932/4846/5743,"MAPT,GSK3B,NOS3,PTGS2",0.136657613,4
BP,GO:0042133,neurotransmitter metabolic process,148/18493,6.65E-06,0.000188435,6.76E-05,4846/43/4843/5743,"NOS3,ACHE,NOS2,PTGS2",0.126922851,4
BP,GO:0001974,blood vessel remodeling,44/18493,6.89E-06,0.00019194,6.89E-05,1636/4846/581,"ACE,NOS3,BAX",0.081879786,3
BP,GO:0002237,response to molecule of bacterial origin,337/18493,7.22E-06,0.000198153,7.11E-05,836/4846/4353/4843/5743,"CASP3,NOS3,MPO,NOS2,PTGS2",0.181337011,5
BP,GO:0043525,positive regulation of neuron apoptotic process,48/18493,8.97E-06,0.000242319,8.69E-05,836/23621/581,"CASP3,BACE1,BAX",0.102772262,3
BP,GO:0062012,regulation of small molecule metabolic process,355/18493,9.30E-06,0.000247264,8.87E-05,2932/4846/4843/5743/5468,"GSK3B,NOS3,NOS2,PTGS2,PPARG",0.154952463,5
BP,GO:0042982,amyloid precursor protein metabolic process,49/18493,9.56E-06,0.000250168,8.98E-05,351/102/43,"APP,ADAM10,ACHE",0.091929722,3
BP,GO:0097345,mitochondrial outer membrane permeabilization,51/18493,1.08E-05,0.000278256,9.98E-05,2932/596/581,"GSK3B,BCL2,BAX",0.062950774,3
BP,GO:0010950,positive regulation of endopeptidase activity,171/18493,1.18E-05,0.000299308,0.000107391,4137/836/581/5468,"MAPT,CASP3,BAX,PPARG",0.127143981,4
BP,GO:0010821,regulation of mitochondrion organization,176/18493,1.32E-05,0.000330484,0.000118577,4137/2932/596/581,"MAPT,GSK3B,BCL2,BAX",0.08962571,4
BP,GO:0051099,positive regulation of binding,181/18493,1.47E-05,0.000361283,0.000129627,351/2932/1636/5468,"APP,GSK3B,ACE,PPARG",0.122831957,4
BP,GO:2001233,regulation of apoptotic signaling pathway,391/18493,1.48E-05,0.000361283,0.000129627,2932/4846/596/581/5743,"GSK3B,NOS3,BCL2,BAX,PTGS2",0.130514849,5
BP,GO:1902110,positive regulation of mitochondrial membrane permeability involved in apoptotic process,57/18493,1.51E-05,0.000362661,0.000130121,2932/596/581,"GSK3B,BCL2,BAX",0.060913707,3
BP,GO:1902686,mitochondrial outer membrane permeabilization involved in programmed cell death,59/18493,1.68E-05,0.000396992,0.000142439,2932/596/581,"GSK3B,BCL2,BAX",0.060218248,3
BP,GO:0035794,positive regulation of mitochondrial membrane permeability,61/18493,1.85E-05,0.000433104,0.000155396,2932/596/581,"GSK3B,BCL2,BAX",0.059548807,3
BP,GO:0001558,regulation of cell growth,416/18493,2.00E-05,0.00045878,0.000164608,4137/2932/596/102/5468,"MAPT,GSK3B,BCL2,ADAM10,PPARG",0.116667099,5
BP,GO:1902108,regulation of mitochondrial membrane permeability involved in apoptotic process,63/18493,2.04E-05,0.00045878,0.000164608,2932/596/581,"GSK3B,BCL2,BAX",0.059105979,3
BP,GO:1905710,positive regulation of membrane permeability,63/18493,2.04E-05,0.00045878,0.000164608,2932/596/581,"GSK3B,BCL2,BAX",0.059105979,3
BP,GO:0002260,lymphocyte homeostasis,64/18493,2.14E-05,0.000474921,0.0001704,836/596/581,"CASP3,BCL2,BAX",0.080996212,3
BP,GO:0042391,regulation of membrane potential,424/18493,2.19E-05,0.000479839,0.000172165,351/4137/2932/596/581,"APP,MAPT,GSK3B,BCL2,BAX",0.124489409,5
BP,GO:0051926,negative regulation of calcium ion transport,65/18493,2.25E-05,0.000484072,0.000173683,4846/596/5743,"NOS3,BCL2,PTGS2",0.08111006,3
BP,GO:0043523,regulation of neuron apoptotic process,202/18493,2.27E-05,0.000484072,0.000173683,836/23621/596/581,"CASP3,BACE1,BCL2,BAX",0.108336379,4
BP,GO:0009612,response to mechanical stimulus,204/18493,2.36E-05,0.000497017,0.000178328,23621/4353/5743/5468,"BACE1,MPO,PTGS2,PPARG",0.11500059,4
BP,GO:0050805,negative regulation of synaptic transmission,68/18493,2.57E-05,0.000529341,0.000189925,4137/43/5743,"MAPT,ACHE,PTGS2",0.0869994,3
BP,GO:0051881,regulation of mitochondrial membrane potential,68/18493,2.57E-05,0.000529341,0.000189925,4137/596/581,"MAPT,BCL2,BAX",0.057628394,3
BP,GO:0008406,gonad development,216/18493,2.95E-05,0.000599872,0.000215232,836/4846/596/581,"CASP3,NOS3,BCL2,BAX",0.107180188,4
BP,GO:0031284,positive regulation of guanylate cyclase activity,10/18493,3.15E-05,0.00062542,0.000224398,4846/4843,"NOS3,NOS2",0.049863147,2
BP,GO:0006809,nitric oxide biosynthetic process,73/18493,3.19E-05,0.00062542,0.000224398,4846/4843/5743,"NOS3,NOS2,PTGS2",0.086122999,3
BP,GO:0046902,regulation of mitochondrial membrane permeability,73/18493,3.19E-05,0.00062542,0.000224398,2932/596/581,"GSK3B,BCL2,BAX",0.056723468,3
BP,GO:0045137,development of primary sexual characteristics,222/18493,3.28E-05,0.000630668,0.000226282,836/4846/596/581,"CASP3,NOS3,BCL2,BAX",0.106456897,4
BP,GO:2001234,negative regulation of apoptotic signaling pathway,222/18493,3.28E-05,0.000630668,0.000226282,4846/596/581/5743,"NOS3,BCL2,BAX,PTGS2",0.095231736,4
BP,GO:0006970,response to osmotic stress,76/18493,3.59E-05,0.000682296,0.000244805,836/581/5743,"CASP3,BAX,PTGS2",0.099521278,3
BP,GO:0048871,multicellular organismal homeostasis,471/18493,3.63E-05,0.000682296,0.000244805,4846/596/43/581/5743,"NOS3,BCL2,ACHE,BAX,PTGS2",0.116989529,5
BP,GO:0046209,nitric oxide metabolic process,77/18493,3.74E-05,0.000694555,0.000249204,4846/4843/5743,"NOS3,NOS2,PTGS2",0.084898965,3
BP,GO:0010623,programmed cell death involved in cell development,11/18493,3.84E-05,0.000706359,0.000253439,596/581,"BCL2,BAX",0.030080263,2
BP,GO:1901652,response to peptide,481/18493,4.02E-05,0.000730574,0.000262127,351/2932/23621/5743/5468,"APP,GSK3B,BACE1,PTGS2,PPARG",0.148869904,5
BP,GO:2001057,reactive nitrogen species metabolic process,80/18493,4.19E-05,0.000754531,0.000270723,4846/4843/5743,"NOS3,NOS2,PTGS2",0.08393204,3
BP,GO:0090559,regulation of membrane permeability,81/18493,4.35E-05,0.000772656,0.000277226,2932/596/581,"GSK3B,BCL2,BAX",0.055097904,3
BP,GO:0051924,regulation of calcium ion transport,239/18493,4.38E-05,0.000772656,0.000277226,4846/596/581/5743,"NOS3,BCL2,BAX,PTGS2",0.092607516,4
BP,GO:0008015,blood circulation,492/18493,4.47E-05,0.000772766,0.000277266,1636/4846/4843/5743/5468,"ACE,NOS3,NOS2,PTGS2,PPARG",0.132713503,5
BP,GO:0061564,axon development,493/18493,4.52E-05,0.000772766,0.000277266,351/4137/836/2932/596,"APP,MAPT,CASP3,GSK3B,BCL2",0.146396653,5
BP,GO:0006527,arginine catabolic process,12/18493,4.61E-05,0.000772766,0.000277266,4846/4843,"NOS3,NOS2",0.04843322,2
BP,GO:0031282,regulation of guanylate cyclase activity,12/18493,4.61E-05,0.000772766,0.000277266,4846/4843,"NOS3,NOS2",0.04843322,2
BP,GO:0014910,regulation of smooth muscle cell migration,83/18493,4.68E-05,0.000772766,0.000277266,1636/5328/596,"ACE,PLAU,BCL2",0.049110436,3
BP,GO:0106027,neuron projection organization,83/18493,4.68E-05,0.000772766,0.000277266,351/2932/102,"APP,GSK3B,ADAM10",0.08243129,3
BP,GO:0090066,regulation of anatomical structure size,497/18493,4.70E-05,0.000772766,0.000277266,4137/2932/1636/4846/5743,"MAPT,GSK3B,ACE,NOS3,PTGS2",0.137728317,5
BP,GO:0003013,circulatory system process,500/18493,4.83E-05,0.000783442,0.000281096,1636/4846/4843/5743/5468,"ACE,NOS3,NOS2,PTGS2,PPARG",0.132459378,5
BP,GO:0008625,extrinsic apoptotic signaling pathway via death domain receptors,84/18493,4.85E-05,0.000783442,0.000281096,4846/596/581,"NOS3,BCL2,BAX",0.05727576,3
BP,GO:0007611,learning or memory,247/18493,4.98E-05,0.000797126,0.000286006,351/4137/836/5743,"APP,MAPT,CASP3,PTGS2",0.142366344,4
BP,GO:0048872,homeostasis of number of cells,248/18493,5.06E-05,0.000802342,0.000287877,836/4846/596/581,"CASP3,NOS3,BCL2,BAX",0.102978695,4
BP,GO:0017014,protein nitrosylation,13/18493,5.44E-05,0.000839902,0.000301354,1636/4843,"ACE,NOS2",0.044641062,2
BP,GO:0018119,peptidyl-cysteine S-nitrosylation,13/18493,5.44E-05,0.000839902,0.000301354,1636/4843,"ACE,NOS2",0.044641062,2
BP,GO:0071287,cellular response to manganese ion,13/18493,5.44E-05,0.000839902,0.000301354,351/23621,"APP,BACE1",0.061727901,2
BP,GO:0001776,leukocyte homeostasis,88/18493,5.58E-05,0.00085256,0.000305895,836/596/581,"CASP3,BCL2,BAX",0.07480329,3
BP,GO:0014909,smooth muscle cell migration,90/18493,5.96E-05,0.000903763,0.000324267,1636/5328/596,"ACE,PLAU,BCL2",0.04803721,3
BP,GO:0042100,B cell proliferation,91/18493,6.16E-05,0.000925958,0.00033223,836/596/581,"CASP3,BCL2,BAX",0.073929165,3
BP,GO:0048143,astrocyte activation,14/18493,6.35E-05,0.000945619,0.000339285,351/4137,"APP,MAPT",0.059893777,2
BP,GO:0015908,fatty acid transport,93/18493,6.58E-05,0.000971143,0.000348442,1636/4843/5468,"ACE,NOS2,PPARG",0.06758927,3
BP,GO:0032943,mononuclear cell proliferation,266/18493,6.65E-05,0.000973324,0.000349225,836/1636/596/581,"CASP3,ACE,BCL2,BAX",0.097025921,4
BP,GO:0032092,positive regulation of protein binding,94/18493,6.79E-05,0.000985351,0.00035354,351/2932/1636,"APP,GSK3B,ACE",0.083469209,3
BP,GO:0007548,sex differentiation,268/18493,6.84E-05,0.000985351,0.00035354,836/4846/596/581,"CASP3,NOS3,BCL2,BAX",0.100010343,4
BP,GO:0042447,hormone catabolic process,15/18493,7.32E-05,0.001036915,0.000372041,1636/43,"ACE,ACHE",0.044876315,2
BP,GO:1990000,amyloid fibril formation,15/18493,7.32E-05,0.001036915,0.000372041,351/4137,"APP,MAPT",0.059101074,2
BP,GO:0051348,negative regulation of transferase activity,274/18493,7.46E-05,0.00104757,0.000375864,4137/836/2932/5468,"MAPT,CASP3,GSK3B,PPARG",0.116058151,4
BP,GO:0048070,regulation of developmental pigmentation,16/18493,8.36E-05,0.001159107,0.000415883,596/581,"BCL2,BAX",0.028026864,2
BP,GO:0098869,cellular oxidant detoxification,101/18493,8.41E-05,0.001159107,0.000415883,4846/4353/5743,"NOS3,MPO,PTGS2",0.080664525,3
BP,GO:0070661,leukocyte proliferation,283/18493,8.45E-05,0.001159107,0.000415883,836/1636/596/581,"CASP3,ACE,BCL2,BAX",0.094581833,4
BP,GO:0050890,cognition,285/18493,8.69E-05,0.001177134,0.000422351,351/4137/836/5743,"APP,MAPT,CASP3,PTGS2",0.134587522,4
BP,GO:0014812,muscle cell migration,103/18493,8.91E-05,0.001177134,0.000422351,1636/5328/596,"ACE,PLAU,BCL2",0.046225978,3
BP,GO:0032091,negative regulation of protein binding,103/18493,8.91E-05,0.001177134,0.000422351,2932/1636/581,"GSK3B,ACE,BAX",0.062373662,3
BP,GO:0033138,positive regulation of peptidyl-serine phosphorylation,103/18493,8.91E-05,0.001177134,0.000422351,351/596/5743,"APP,BCL2,PTGS2",0.080065502,3
BP,GO:0097193,intrinsic apoptotic signaling pathway,287/18493,8.92E-05,0.001177134,0.000422351,836/596/581/5743,"CASP3,BCL2,BAX,PTGS2",0.104540204,4
BP,GO:0034599,cellular response to oxidative stress,289/18493,9.17E-05,0.001191939,0.000427663,4137/4846/596/4353,"MAPT,NOS3,BCL2,MPO",0.083198997,4
BP,GO:0034605,cellular response to heat,104/18493,9.17E-05,0.001191939,0.000427663,4137/2932/5743,"MAPT,GSK3B,PTGS2",0.080460199,3
BP,GO:0021761,limbic system development,105/18493,9.44E-05,0.001208181,0.000433491,836/2932/581,"CASP3,GSK3B,BAX",0.082502784,3
BP,GO:1990748,cellular detoxification,105/18493,9.44E-05,0.001208181,0.000433491,4846/4353/5743,"NOS3,MPO,PTGS2",0.080169736,3
BP,GO:0018107,peptidyl-threonine phosphorylation,109/18493,0.000105482,0.001340244,0.000480875,351/2932/596,"APP,GSK3B,BCL2",0.069449518,3
BP,GO:0010822,positive regulation of mitochondrion organization,112/18493,0.000114338,0.001442162,0.000517443,2932/596/581,"GSK3B,BCL2,BAX",0.050299381,3
BP,GO:0016485,protein processing,310/18493,0.000120207,0.001505198,0.000540059,836/1636/5328/102,"CASP3,ACE,PLAU,ADAM10",0.09291486,4
BP,GO:0007568,aging,311/18493,0.000121709,0.001513048,0.000542876,351/596/4353/5743,"APP,BCL2,MPO,PTGS2",0.097570137,4
BP,GO:0018210,peptidyl-threonine modification,116/18493,0.000126882,0.00156609,0.000561907,351/2932/596,"APP,GSK3B,BCL2",0.067814517,3
BP,GO:0001952,regulation of cell-matrix adhesion,117/18493,0.000130153,0.001591357,0.000570973,2932/5328/596,"GSK3B,PLAU,BCL2",0.045039148,3
BP,GO:0006525,arginine metabolic process,20/18493,0.000132138,0.001591357,0.000570973,4846/4843,"NOS3,NOS2",0.043550611,2
BP,GO:1902473,regulation of protein localization to synapse,20/18493,0.000132138,0.001591357,0.000570973,4137/102,"MAPT,ADAM10",0.040888933,2
BP,GO:1903829,positive regulation of cellular protein localization,318/18493,0.000132613,0.001591357,0.000570973,4137/2932/596/5743,"MAPT,GSK3B,BCL2,PTGS2",0.088913139,4
BP,GO:0008637,apoptotic mitochondrial changes,121/18493,0.000143783,0.001692901,0.000607407,2932/596/581,"GSK3B,BCL2,BAX",0.049066812,3
BP,GO:0030728,ovulation,21/18493,0.000145974,0.001692901,0.000607407,4846/5743,"NOS3,PTGS2",0.056014156,2
BP,GO:0031281,positive regulation of cyclase activity,21/18493,0.000145974,0.001692901,0.000607407,4846/4843,"NOS3,NOS2",0.043132511,2
BP,GO:0043496,regulation of protein homodimerization activity,21/18493,0.000145974,0.001692901,0.000607407,596/581,"BCL2,BAX",0.026456414,2
BP,GO:0051349,positive regulation of lyase activity,21/18493,0.000145974,0.001692901,0.000607407,4846/4843,"NOS3,NOS2",0.043132511,2
BP,GO:0098754,detoxification,123/18493,0.000150934,0.001729836,0.000620659,4846/4353/5743,"NOS3,MPO,PTGS2",0.075887052,3
BP,GO:0032102,negative regulation of response to external stimulus,329/18493,0.00015116,0.001729836,0.000620659,23621/5328/4846/5468,"BACE1,PLAU,NOS3,PPARG",0.079558928,4
BP,GO:0048638,regulation of developmental growth,334/18493,0.000160186,0.001821058,0.000653389,351/4137/2932/596,"APP,MAPT,GSK3B,BCL2",0.088267009,4
BP,GO:0035296,regulation of tube diameter,129/18493,0.000173765,0.001949782,0.000699575,1636/4846/5743,"ACE,NOS3,PTGS2",0.076032048,3
BP,GO:0097746,regulation of blood vessel diameter,129/18493,0.000173765,0.001949782,0.000699575,1636/4846/5743,"ACE,NOS3,PTGS2",0.076032048,3
BP,GO:0007006,mitochondrial membrane organization,131/18493,0.000181847,0.002027297,0.000727387,2932/596/581,"GSK3B,BCL2,BAX",0.047680767,3
BP,GO:0032800,receptor biosynthetic process,24/18493,0.000191561,0.002121903,0.000761331,43/5468,"ACHE,PPARG",0.040404761,2
BP,GO:0007292,female gamete generation,134/18493,0.000194421,0.002139871,0.000767778,4846/596/5743,"NOS3,BCL2,PTGS2",0.065317202,3
BP,GO:0072655,establishment of protein localization to mitochondrion,135/18493,0.000198735,0.002173506,0.000779846,4137/596/581,"MAPT,BCL2,BAX",0.046838445,3
BP,GO:0050880,regulation of blood vessel size,136/18493,0.00020311,0.002192801,0.000786769,1636/4846/5743,"ACE,NOS3,PTGS2",0.074600823,3
BP,GO:1901653,cellular response to peptide,356/18493,0.000204608,0.002192801,0.000786769,351/2932/23621/5468,"APP,GSK3B,BACE1,PPARG",0.096118957,4
BP,GO:0035150,regulation of tube size,137/18493,0.000207548,0.002192801,0.000786769,1636/4846/5743,"ACE,NOS3,PTGS2",0.074600823,3
BP,GO:0006309,apoptotic DNA fragmentation,25/18493,0.000208113,0.002192801,0.000786769,836/581,"CASP3,BAX",0.053489666,2
BP,GO:0019430,removal of superoxide radicals,25/18493,0.000208113,0.002192801,0.000786769,4846/4353,"NOS3,MPO",0.042963559,2
BP,GO:0034205,amyloid-beta formation,25/18493,0.000208113,0.002192801,0.000786769,351/102,"APP,ADAM10",0.048739605,2
BP,GO:0070585,protein localization to mitochondrion,139/18493,0.000216611,0.002268511,0.000813933,4137/596/581,"MAPT,BCL2,BAX",0.046511626,3
