num,Database,herb,Ingredient_Name,MOLID,PubChem_CID,Biological_Test_Results,BBB_OB,SMILES,genes_from_tcmsp,genes_from_pubchem,genes_from_sea,genes_total,CHEMBL
17,TCMSP,danshen,L-Ile,MOL000068,6306,Exist,,CCC(C)C(C(=O)O)N,"GABRA1,BCHE,CTSD,ADH1C",,,"GABRA1,BCHE,CTSD,ADH1C",CHEMBL1233584
19,TCMSP,danshen,Istidina,MOL000071,6274,Exist,,C1=C(NC=N1)CC(C(=O)O)N,"PTGS1,PTGS2","CA9,CA12,SLC7A5,CA6,CA5B,SLC15A3,CA4,CA1,CA14,CD47,CA3,SLC15A4,CA2,CA7,SIRPA,CA5A","HRH4,CPB2","CA9,HRH4,CA12,PTGS1,SLC7A5,CA6,CA5B,SLC15A3,CA4,CA1,CA14,CD47,CA3,SLC15A4,CPB2,CA2,CA7,PTGS2,SIRPA,CA5A",CHEMBL17962
23,TCMSP,danshen,EIC,MOL000131,NO,,,,"NCOA2,TRPV1,GABRA1,RXRA,PTGS1,CHRM1,LYZ,PTGS2,SLC6A2,CHRM2",,,"NCOA2,TRPV1,GABRA1,RXRA,PTGS1,CHRM1,LYZ,PTGS2,SLC6A2,CHRM2",
24,TCMSP,danshen,beta-Chamigrene,MOL000162,442353,,,CC1=CCC2(CC1)C(=C)CCCC2(C)C,"NCOA2,CHRM3,CHRNA2,GABRA1,MAOB,RXRA,ADRA1B,PTGS1,CHRM1,PTGS2,ADRA1A,SLC6A2,CHRM2",,,"NCOA2,CHRM3,CHRNA2,MAOB,GABRA1,RXRA,ADRA1B,PTGS1,CHRM1,PTGS2,ADRA1A,SLC6A2,CHRM2",
25,TCMSP,danshen,(R)-linalool,MOL000198,443158,Exist,,CC(=CCCC(C)(C=C)O)C,"NCOA2,CHRM3,CHRM2,GABRA1,SCN5A,PGR,PTGS1,CHRM1,PTGS2,KCNH2,SLC6A2,KDR",,,"NCOA2,CHRM3,GABRA1,SCN5A,KDR,PGR,PTGS1,CHRM1,PTGS2,KCNH2,SLC6A2,CHRM2",CHEMBL235672
26,TCMSP,danshen,Moslene,MOL000202,7461,Exist,,CC1=CCC(=CC1)C(C)C,"ACHE,GABRA1,PTGS2,ADH1A,ADH1C",,,"ACHE,GABRA1,PTGS2,ADH1A,ADH1C",CHEMBL449693
28,TCMSP,danshen,(-)-beta-Phellandrene,MOL000257,443161,,,CC(C)C1CCC(=C)C=C1,GABRA1,,,GABRA1,
32,TCMSP,danshen,TMH,MOL000485,NO,,,,"GABRA1,PTGS2,CHRNA2",,,"GABRA1,PTGS2,CHRNA2",
34,TCMSP,danshen,digallate,MOL000569,54711004,,,C1=C(C=C(C(=C1O)[O-])O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)O,PTGS2,,"POLB,POLA1","POLB,PTGS2,POLA1",
36,TCMSP,danshen,oleic acid,MOL000675,445639,Exist,,CCCCCCCCC=CCCCCCCCC(=O)O,"PRSS3,PDX1,RXRA,PPARG,CCK,UCP2,PPARA,PTGS1,TEP1,DNPEP,ADH1C,EDN3,CAT,ENPEP,LPL,PAM,PLAU,PPARD,CITED1,SERPINE1,NTRK2,PON1,INS,ADH1A,PTGS2,PYY,HMGCR,SOAT1,HEL-S-44,GAP43,CETP,ERBB2,NCOA2,UCP3,BDNF,SCD,MPO,PLG,LYZ,RBP2,CRP","FABP1,FAAH,MCL1,FABP4,PPARG,PPARA,PLK1,FABP5,FFAR1,KCNH2,CYP19A1,TERT,MAPT,PPARD,FFAR4,USP1,KCNQ1,FASN,PLD2,KAT2A,GMNN,TOP1,DNMT1","TRPV1,FAAH,CNR1,CES1,PPARG,PPARA,SLC22A6,PPARD,FABP3,SLC22A8,TLR2,TOP1,HMGCR,PTPN7,OXER1,FFAR4,CNR2,ALOX12,FABP4,EPHX2","PRSS3,PDX1,FAAH,CNR1,CES1,CCK,TEP1,DNPEP,ADH1C,PLK1,SLC22A6,EDN3,LPL,PPARD,CITED1,SERPINE1,NTRK2,PON1,INS,ADH1A,PTGS2,SLC22A8,PYY,TOP1,SOAT1,HEL-S-44,PTPN7,CETP,OXER1,FFAR1,FFAR4,CNR2,USP1,UCP3,KCNQ1,BDNF,SCD,ALOX12,PLG,RBP2,CRP,FABP4,FABP1,TRPV1,RXRA,PPARG,PTGS1,UCP2,PPARA,FABP5,CAT,TERT,PAM,PLAU,ENPEP,FASN,FABP3,KAT2A,TLR2,GMNN,HMGCR,DNMT1,GAP43,MCL1,ERBB2,KCNH2,NCOA2,MAPT,MPO,LYZ,PLD2,EPHX2,CYP19A1",CHEMBL8659
40,TCMSP,danshen,(R)-p-Menth-1-en-4-ol,MOL000922,5325830,Exist,,CC1=CCC(CC1)(C(C)C)O,"SCN5A,RXRA,ADRA1B,PGR,PTGS1,GABRA1,CHRM1,NR3C2,PTGS2,CHRNA2,KCNH2,NCOA1,CHRM2,NCOA2,CHRM3,HTR3A,ADRA1D,ADRB2,SLC6A2",,,"CHRNA2,SCN5A,RXRA,ADRA1B,PGR,PTGS1,KCNH2,NCOA1,CHRM2,NCOA2,CHRM3,HTR3A,GABRA1,ADRA1D,CHRM1,NR3C2,PTGS2,ADRB2,SLC6A2",CHEMBL2287509
42,TCMSP,danshen,"(1R,4S,4aR,8aR)-4-isopropyl-1,6-dimethyl-3,4,4a,7,8,8a-hexahydro-2H-naphthalen-1-ol",MOL000942,NO,,,,"CHRM3,CHRNA2,GABRA1,ADRA1B,CHRM1,PTGS2,SLC6A2",,,"CHRM3,CHRNA2,GABRA1,ADRA1B,CHRM1,PTGS2,SLC6A2",
43,TCMSP,danshen,5-isopropyl-2-methylbicyclo[3.1.0]hex-2-ene,MOL001055,17868,,,CC1=CCC2(C1C2)C(C)C,"NCOA2,GABRA1,PTGS2",,,"NCOA2,GABRA1,PTGS2",
48,TCMSP,danshen,protocatechualdehyde,MOL001452,8768,Exist,,C1=CC(=C(C=C1C=O)O)O,"CHRM3,GABRA1,CHRM1,LYZ,ADH1C,ODC1,CHRM2","BAZ2B,IL1B,GFER",EGFR,"IL1B,CHRM3,GABRA1,GFER,EGFR,CHRM1,BAZ2B,LYZ,ADH1C,ODC1,CHRM2",CHEMBL222021
49,TCMSP,danshen,"1,2,5,6-tetrahydrotanshinone",MOL001601,NO,,,,"SCN5A,RXRA,SLC6A4,ADRA1B,PTGS1,OPRM1,CHRM5,GABRA1,CHRM1,PTGS2,OPRD1,ADRA1A,NCOA1,CHRM2,CHRM4,NCOA2,CHRM3,HTR3A,ADRA1D,ADRB2,carbonic,SLC6A3",,,"SCN5A,RXRA,SLC6A4,ADRA1B,PTGS1,ADRA1A,CHRM5,OPRM1,NCOA1,CHRM2,CHRM4,NCOA2,CHRM3,HTR3A,GABRA1,ADRA1D,CHRM1,PTGS2,ADRB2,carbonic,SLC6A3,OPRD1",
50,TCMSP,danshen,Poriferasterol,MOL001659,5281330,Exist,,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,"PGR,NR3C2",,"CYP17A1,AR,ESR2,NPC1L1,NR1H2,SRD5A2,NR1H3,SREBF2,SHBG,ESR1,POLA1","CYP17A1,AR,NPC1L1,NR1H2,ESR2,SRD5A2,NR1H3,SREBF2,PGR,NR3C2,SHBG,ESR1,POLA1",
51,TCMSP,danshen,poriferast-5-en-3beta-ol,MOL001771,457801,Exist,,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,"PGR,NCOA2",,"CYP17A1,RORC,AR,ESR2,NPC1L1,NR1H2,SREBF2,NR1H3,SHBG,ESR1","NCOA2,CYP17A1,RORC,AR,NPC1L1,ESR2,NR1H2,SREBF2,NR1H3,PGR,SHBG,ESR1",
52,TCMSP,danshen,isoimperatorin,MOL001942,68081,Exist,,CC(=CCOC1=C2C=CC(=O)OC2=CC3=C1C=CO3)C,PTGS2,"CYP1B1,AHR,MRGPRX1","KCNA5,KCNN4,KCNA3,KCNA1,KCNMA1,KCNN1,KCNA7,CYP1B1,KCNN2,KCNA2,KCNA4","KCNA5,KCNN4,KCNA3,MRGPRX1,KCNA1,KCNMA1,KCNN1,KCNA7,CYP1B1,PTGS2,KCNN2,KCNA2,KCNA4,AHR",CHEMBL448060
56,TCMSP,danshen,"1H-Cycloprop(e)azulen-7-ol, decahydro-1,1,7-trimethyl-4-methylene-, (1aR-(1aalpha,4aalpha,7beta,7abeta,7balpha))-",MOL002153,92231,Exist,,CC1(C2C1C3C(CCC3(C)O)C(=C)CC2)C,"GABRA1,CHRM3,CHRM2,CHRM1",,,"CHRM1,CHRM3,GABRA1,CHRM2",CHEMBL518542
57,TCMSP,danshen,sugiol,MOL002222,94162,Exist,,CC(C)C1=C(C=C2C(=C1)C(=O)CC3C2(CCCC3(C)C)C)O,"ACHE,CHRM4,CHRM3,OPRM1,SCN5A,ADRA1D,ADRA1B,CHRM5,OPRD1,CHRM1,PTGS2,ADRA1A,ADRB2,carbonic,DRD2,CHRM2",,,"ACHE,SCN5A,ADRA1B,ADRA1A,CHRM5,OPRM1,CHRM2,CHRM4,CHRM3,ADRA1D,CHRM1,PTGS2,DRD2,ADRB2,carbonic,OPRD1",CHEMBL195296
60,TCMSP,danshen,Dehydrotanshinone II A,MOL002651,128994,Exist,,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3C=CCC4(C)C,"ACHE,CHRM4,CHRM3,OPRM1,AR,GABRA1,SCN5A,CHRM5,CHRM1,PTGS2,ADRA1A,ADRB2,NCOA1,ESR1,OPRD1",IDO1,"CES2,PTPN6","ACHE,AR,SCN5A,ADRA1A,CHRM5,OPRM1,PTPN6,ESR1,NCOA1,CHRM4,CHRM3,GABRA1,CHRM1,PTGS2,ADRB2,IDO1,CES2,OPRD1",CHEMBL4288269
62,TCMSP,danshen,Baicalin,MOL002776,64982,Exist,,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O,,"PRKAA1,PREP,PRKAG1,PRKAG3,CCNB1,CDK1,PRKAB2,PRKAG2,CYP1A2,AKT1,PRKAB1,PRKAA2",,"PRKAA1,PREP,PRKAG1,PRKAG3,CCNB1,CDK1,PRKAB2,PRKAG2,CYP1A2,PRKAA2,AKT1,PRKAB1",CHEMBL485818
64,TCMSP,danshen,[(1S)-endo]-(-)-Borneol,MOL003047,1201518,Exist,,CC1(C2CCC1(C(C2)O)C)C,GABRA1,,,GABRA1,CHEMBL3186705
66,TCMSP,danshen,L-Serin,MOL003969,5951,Exist,,C(C(C(=O)O)N)O,"SLC36A1,PRSS3,BCHE,GABRA1,GPT,AGXT,KYNU,DKFZp686G18136,PTGS1,GLB1,SRC,TPI1,ADH1A,ADH1C,CTSD,GIG18,CTH",,SLC1A1,"PRSS3,BCHE,SLC1A1,GPT,KYNU,DKFZp686G18136,PTGS1,TPI1,CTSD,ADH1C,CTH,SLC36A1,GABRA1,AGXT,GLB1,SRC,ADH1A,GIG18",CHEMBL11298
67,TCMSP,danshen,Threonin,MOL003971,6288,Exist,,CC(C(C(=O)O)N)O,"BCHE,GABRA1,AGXT,PTGS1,GLB1,SRC,PTGS2,CTSD,ADH1C,GIG18,CTH",,,"BCHE,GABRA1,AGXT,PTGS1,GLB1,SRC,PTGS2,CTSD,ADH1C,GIG18,CTH",CHEMBL291747
69,TCMSP,danshen,(2S)-2-amino-3-[(2R)-2-amino-3-hydroxy-3-oxopropyl]disulfanylpropanoic acid,MOL004481,NO,,,,,,,,
73,TCMSP,danshen,(-)-Epicedrol,MOL005423,6713078,,,CC1CCC2C13CCC(C(C3)C2(C)C)(C)O,"CHRM1,GABRA1,CHRM3,CHRM2",,,"CHRM1,CHRM3,GABRA1,CHRM2",
74,TCMSP,danshen,Leucinum,MOL005448,6106,Exist,,CC(C)CC(C(=O)O)N,"BCHE,GABRA1,PTGS1,CTSD,ADH1C","CYP2C9,CYP2D6,CYP3A4,CYP1A2,CYP2C19","SLC1A1,GRM6,GRIK1,GRIK2","GRM6,BCHE,CYP2C9,CYP2D6,SLC1A1,GABRA1,CYP3A4,PTGS1,GRIK1,GRIK2,CTSD,ADH1C,CYP1A2,CYP2C19",CHEMBL291962
75,TCMSP,danshen,h-Met-h,MOL005449,6137,Exist,,CSCCC(C(=O)O)N,"GABRA1,CTSD,ADH1C",,,"GABRA1,CTSD,ADH1C",CHEMBL42336
77,TCMSP,danshen,isoferulic acid,MOL005928,736186,Exist,,COC1=C(C=C(C=C1)C=CC(=O)O)O,"MAOB,ADRA2A,MAOA,PTGS1,LTA4H,PTGS2,ADRB1,ADRB2,ADRA1A,ADRA2C,SLC6A3","MC4R,NR5A2,NCOA1,NCOA3","CA9,MMP9,CA14,ALOX5,BACE1,PTPN1,CA2,MMP2,CA5A,BCHE,ABCB1,CA12,TUBB1,TUBB3,NFE2L2,CA6,CA5B,CA1,APP,MMP1,MAPT,CA3,CA7,CYP1B1","CA9,MMP9,PTGS1,MC4R,ADRA2C,NCOA3,CA14,NR5A2,ALOX5,BACE1,ADRA2A,MAOA,PTPN1,CA2,PTGS2,MMP2,CA5A,BCHE,ABCB1,MAOB,CA12,TUBB1,TUBB3,NFE2L2,CA6,CA5B,ADRA1A,NCOA1,CA1,APP,MMP1,MAPT,CA3,LTA4H,CA7,CYP1B1,ADRB1,ADRB2,SLC6A3",CHEMBL233295
79,TCMSP,danshen,alpha-amyrin,MOL006824,73170,Exist,,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C,,PTPN1,"PTPRF,HSD11B1,GPBAR1,PTPN1,PTPN2,ACP1,AKR1B10,CES2","PTPRF,HSD11B1,GPBAR1,PTPN1,PTPN2,ACP1,AKR1B10,CES2",CHEMBL455357
80,TCMSP,danshen,"(E)-3-(3-hydroxy-4,5-dimethoxy-phenyl)acrylic acid",MOL007035,NO,,,,"GRIA2,MAOB,ADRA2A,PTGS1,PTGS2,ADRB2,SLC6A3",,,"MAOB,ADRA2A,PTGS1,PTGS2,ADRB2,SLC6A3,GRIA2",
81,TCMSP,danshen,"5,6-dihydroxy-7-isopropyl-1,1-dimethyl-2,3-dihydrophenanthren-4-one",MOL007036,NO,,,,"ACHE,NCOA2,CHRM3,SCN5A,RXRA,ADRA1B,PTGS1,CHRM1,PTGS2,ADRA1A,OPRM1,ADRB2,carbonic,NCOA1",,,"ACHE,NCOA2,CHRM3,SCN5A,RXRA,ADRA1B,PTGS1,CHRM1,PTGS2,ADRA1A,OPRM1,ADRB2,carbonic,NCOA1",
86,TCMSP,danshen,"2-isopropyl-8-methylphenanthrene-3,4-dione",MOL007041,135872,,,CC1=C2C=CC3=C(C2=CC=C1)C(=O)C(=O)C(=C3)C(C)C,"AR,SCN5A,RXRA,SLC6A4,ADRA1B,PTGS1,OPRM1,CHRM5,ESR1,GABRA1,CHRM1,PTGS2,ADRA1A,CHRM2,CHRM4,NCOA2,CHRM3,CCNA2,HTR3A,ADRA1D,ADRB2,SLC6A3",,,"AR,SCN5A,RXRA,SLC6A4,ADRA1B,PTGS1,ADRA1A,CHRM5,OPRM1,ESR1,CHRM2,CHRM4,NCOA2,CHRM3,CCNA2,HTR3A,GABRA1,ADRA1D,CHRM1,PTGS2,ADRB2,SLC6A3",
88,TCMSP,danshen,"1-(3,4-dihydroxyphenyl)-2-hydroxyethanone",MOL007043,22134444,,,C1=CC(=C(C=C1C(=O)CO)O)O,,,"CA14,CA6,CA7","CA14,CA6,CA7",
89,TCMSP,danshen,"3,7-dimethylocta-2,6-dien-1-yl formate",MOL007044,5282109,Exist,,CC(=CCCC(=CCOC=O)C)C,,,,,CHEMBL3182514
90,TCMSP,danshen,3alpha-hydroxytanshinone£êa,MOL007045,NO,,,,"ACHE,PRSS1,SCN5A,CHRM5,CHRM1,PTGS2,OPRM1,ADRB2,NCOA1,OPRD1",,,"ACHE,OPRM1,SCN5A,CHRM1,PTGS2,NCOA1,CHRM5,ADRB2,PRSS1,OPRD1",
92,TCMSP,danshen,"(1R,4R,5S)-1-isopropyl-4-methyl-4-bicyclo[3.1.0]hexanol",MOL007047,NO,,,,"GABRA1,CHRNA2",,,"GABRA1,CHRNA2",
93,TCMSP,danshen,"(E)-3-[2-(3,4-dihydroxyphenyl)-7-hydroxy-benzofuran-4-yl]acrylic acid",MOL007048,NO,,,,PTGS2,,,PTGS2,
94,TCMSP,danshen,4-methylenemiltirone,MOL007049,14609851,,,CC(C)C1=CC2=C(C3=C(C=C2)C(=C)CCC3)C(=O)C1=O,"AR,SCN5A,SLC6A4,RXRA,ADRA1B,PTGS1,OPRM1,CHRM5,ADRA2C,ESR1,GABRA1,ADRA2A,CHRM1,PTGS2,DRD2,OPRD1,ADRA1A,NCOA1,CHRM2,CHRM4,NCOA2,CHRM3,ADRA1D,ADRB2,carbonic,SLC6A3",,CES2,"CES2,AR,SCN5A,SLC6A4,RXRA,ADRA1B,PTGS1,ADRA1A,CHRM5,OPRM1,ADRA2C,ESR1,NCOA1,CHRM2,CHRM4,NCOA2,CHRM3,GABRA1,ADRA1D,ADRA2A,CHRM1,PTGS2,DRD2,ADRB2,carbonic,SLC6A3,OPRD1",
95,TCMSP,danshen,2-(4-hydroxy-3-methoxyphenyl)-5-(3-hydroxypropyl)-7-methoxy-3-benzofurancarboxaldehyde,MOL007050,NO,,,,"CCNA2,ESR2,AR,MAPK14,GSK3B,ESR1",,,"CCNA2,ESR2,AR,MAPK14,GSK3B,ESR1",
96,TCMSP,danshen,6-o-syringyl-8-o-acetyl shanzhiside methyl ester,MOL007051,NO,,,,,,,,
102,TCMSP,danshen,formyltanshinone,MOL007058,NO,,,,"AR,PTGS2,NCOA1,RXRA",,,"AR,PTGS2,NCOA1,RXRA",
103,TCMSP,danshen,3-beta-Hydroxymethyllenetanshiquinone,MOL007059,NO,,,,"ACHE,OPRM1,RXRA,CHRM1,PTGS2,NCOA1,ADRA1A,ADRB2,carbonic,PRSS1,OPRD1",,,"ACHE,PRSS1,RXRA,CHRM1,PTGS2,ADRA1A,OPRM1,ADRB2,carbonic,NCOA1,OPRD1",
