Gene,org_score_in_DisGeNET,score_in_DisGeNET,org_score_in_GeneCards,score_in_GeneCards,org_score_in_CTD,score_in_CTD,avg_score
IRS1,0.37,0.528571429,35.8,0.360850721,52.42,0.395085921,0.428169357
IFNG,0.08,0.114285714,55.18,0.556193932,80.43,0.606195357,0.425558334
ICAM1,0.1,0.142857143,53.88,0.543090414,77.98,0.587729876,0.424559144
ABCG5,0.42,0.6,41.19,0.415179921,32.75,0.246834489,0.42067147
HMOX1,0.1,0.142857143,41.13,0.414575144,92.56,0.69761833,0.418350206
CXCL8,0.1,0.142857143,41.91,0.422437254,91.02,0.686011456,0.417101951
SERPINE1,0.1,0.142857143,59.26,0.597318819,66.29,0.499623153,0.413266372
INS,0.02,0.028571429,69.51,0.700635017,64.4,0.485378354,0.4048616
TP53,0.05,0.071428571,58.24,0.587037597,73.73,0.55569792,0.404721363
MPO,0.1,0.142857143,50.54,0.509424453,72.6,0.547181188,0.399820928
CAT,0.05,0.071428571,43.74,0.440882976,90.55,0.682469099,0.398260215
VWF,0.1,0.142857143,65.07,0.655881464,50.85,0.383252939,0.393997182
F2,0.1,0.142857143,60.04,0.605180929,56.03,0.422294242,0.390110771
REN,0.1,0.142857143,44.47,0.448241105,76.73,0.578308713,0.38980232
MMP2,0.1,0.142857143,40.99,0.413163996,80.47,0.606496834,0.387505991
IGF1,0.05,0.071428571,46.26,0.466283641,77.83,0.586599337,0.374770516
AKT1,0.01,0.014285714,43.64,0.439875013,87.79,0.661667169,0.371942632
ALB,0.1,0.142857143,44.96,0.453180123,68.87,0.519068435,0.3717019
PCSK9,0.2,0.285714286,46.07,0.464368511,48.07,0.362300271,0.370794356
NPPA,0.01,0.014285714,40.16,0.404797903,90.78,0.684202593,0.36776207
NOS2,0.03,0.042857143,35.31,0.355911702,92.74,0.698974977,0.365914607
LIPC,0.2,0.285714286,51.34,0.517488156,38.62,0.291076274,0.364759572
ABCB1,0.07,0.1,33.07,0.333333333,85.58,0.645010552,0.359447962
CASP3,0,0,27.18,0.273964318,104.35,0.786478746,0.353481021
CETP,0.2,0.285714286,53.15,0.535732285,31.02,0.233795598,0.35174739
TLR4,0.1,0.142857143,57,0.574538857,43.02,0.32423877,0.34721159
CCR5,0.28,0.4,36.42,0.367100091,36.39,0.274268918,0.347123003
ADIPOQ,0.1,0.142857143,38.12,0.38423546,66.09,0.498115767,0.341736123
SCARB1,0.18,0.257142857,18.55,0.186977119,76.96,0.580042207,0.341387394
TCF7L2,0.45,0.642857143,11.92,0.120149179,34.51,0.260099487,0.34103527
AGTR1,0.1,0.142857143,52.31,0.527265397,46.16,0.347904733,0.339342424
CX3CR1,0.4,0.571428571,31.14,0.313879649,16.53,0.124585469,0.33663123
HNF1A,0.47,0.671428571,15.01,0.151295232,23.28,0.175459753,0.332727852
PTGS2,0.1,0.142857143,25.2,0.254006653,79.77,0.601220983,0.332694926
IL1RN,0.1,0.142857143,51.26,0.516681786,44.76,0.33735303,0.33229732
HMGCR,0.19,0.271428571,29.85,0.300876928,55.6,0.419053361,0.330452953
BCL2,0.03,0.042857143,24.5,0.246950912,92.88,0.700030148,0.329946068
APOC3,0.1,0.142857143,46.08,0.464469308,50.51,0.380690383,0.329338945
SPP1,0.03,0.042857143,38.65,0.389577664,72.86,0.54914079,0.327191866
MMP1,0.1,0.142857143,41.05,0.413768773,56.12,0.422972566,0.326532827
SOD2,0.03,0.042857143,37.37,0.376675738,74.3,0.55999397,0.32650895
CFTR,0.1,0.142857143,43.99,0.443402883,51.64,0.389207115,0.325155714
STAT3,0.02,0.028571429,42.74,0.430803346,68.35,0.515149231,0.324841335
LMNA,0.03,0.042857143,61.97,0.624634613,40.38,0.304341272,0.323944343
TNFRSF1A,0.03,0.042857143,44.02,0.443705272,63.53,0.478821224,0.321794546
SOD1,0.05,0.071428571,45.05,0.45408729,57.99,0.437066626,0.320860829
PLAU,0.31,0.442857143,14.41,0.145247455,49.55,0.373454929,0.320519842
CYBA,0.1,0.142857143,39.15,0.394617478,55.57,0.418827254,0.318767292
CDKN2A,0.1,0.142857143,54.03,0.544602359,35.37,0.266581248,0.318013583
FAS,0.04,0.057142857,36.93,0.372240702,69.53,0.52404281,0.31780879
MAPK1,0,0,31.45,0.317004334,84.22,0.634760326,0.317254887
SELP,0.1,0.142857143,36.93,0.372240702,55.81,0.420636117,0.311911321
VCAM1,0.02,0.028571429,30.37,0.306118335,79.6,0.599939705,0.311543156
CDKN2B,0.1,0.142857143,44.37,0.447233142,45.04,0.339463371,0.309851219
NPPB,0.01,0.014285714,35.98,0.362665054,73.07,0.550723545,0.309224771
BDNF,0.1,0.142857143,25.85,0.260558411,69.36,0.522761532,0.308725695
TNFRSF11B,0.1,0.142857143,44.8,0.451567382,43.15,0.325218571,0.306547699
SMAD3,0.14,0.2,34.7,0.349763129,47.97,0.361546578,0.303769902
GATA4,0.1,0.142857143,42.22,0.425561939,45.42,0.342327404,0.303582162
EGFR,0.04,0.057142857,39,0.393105534,61.07,0.460280374,0.303509588
ESR1,0.1,0.142857143,46.57,0.469408326,39.07,0.294467893,0.302244454
PPARA,0.1,0.142857143,22.11,0.222860599,71.59,0.539568888,0.30176221
CD40,0.07,0.1,43.22,0.435641568,47.35,0.356873681,0.297505083
CTNNB1,0.01,0.014285714,40.37,0.406914626,61.38,0.462616822,0.294605721
OLR1,0.1,0.142857143,32.44,0.326983167,54.67,0.412044016,0.293961442
MRAS,0.4,0.571428571,8.79,0.08859994,29.36,0.221284293,0.293770935
LOX,0.2,0.285714286,33.2,0.334643685,33.67,0.253768465,0.291375479
THBD,0.1,0.142857143,39.75,0.400665256,43.77,0.329891468,0.291137956
FOS,0.01,0.014285714,17.15,0.172865639,90.99,0.685785348,0.2909789
APP,0,0,53.79,0.542183248,43.72,0.329514622,0.290565957
IL18,0.1,0.142857143,37.91,0.382118738,45.91,0.3460205,0.290332127
BAX,0.03,0.042857143,12.67,0.1277089,92.53,0.697392222,0.289319422
FN1,0.03,0.042857143,42.47,0.428081847,52.23,0.393653904,0.288197631
CYBB,0.01,0.014285714,32.15,0.324060075,69.61,0.524645764,0.287663851
NFE2L2,0.03,0.042857143,23.11,0.232940228,77.78,0.58622249,0.287339954
ACTA2,0.03,0.042857143,44.17,0.445217216,48.82,0.36795297,0.285342443
GFAP,0.02,0.028571429,38.91,0.392198367,57.3,0.431866144,0.28421198
NR3C1,0.07,0.1,29.07,0.293014817,60.17,0.453497136,0.282170651
MIR146A,0.1,0.142857143,38.06,0.383630682,41.5,0.312782635,0.27975682
HSPD1,0.08,0.114285714,39.51,0.398246145,42.65,0.321450106,0.277993988
MIR21,0.07,0.1,43.99,0.443402883,38.47,0.289945734,0.277782872
KNG1,0.06,0.085714286,43.68,0.440278198,40.75,0.307129937,0.277707474
MAPK3,0.02,0.028571429,13.84,0.139502066,87.74,0.661290323,0.276454606
PECAM1,0.17,0.242857143,25.2,0.254006653,44.02,0.331775701,0.276213166
COL1A1,0.01,0.014285714,26.78,0.269932466,72.13,0.54363883,0.275952337
RETN,0.1,0.142857143,39.01,0.39320633,37.67,0.283916189,0.273326554
ABCC2,0,0,19.68,0.1983671,82.05,0.618405185,0.272257428
F3,0.07,0.1,30.95,0.31196452,53.43,0.402698221,0.271554247
ADRB2,0.05,0.071428571,34.74,0.350166314,51.91,0.391242086,0.270945657
VKORC1,0.34,0.485714286,18.46,0.186069953,18.33,0.138151945,0.269978728
F7,0.09,0.128571429,36.1,0.363874609,41.69,0.314214652,0.268886897
CCN2,0,0,26.67,0.268823707,71.26,0.5370817,0.268635136
RELA,0.01,0.014285714,13.14,0.132446326,87.24,0.657521857,0.268084632
CALCA,0.01,0.014285714,21.09,0.212579377,76.45,0.576198372,0.267687821
IL4,0.02,0.028571429,31.32,0.315693982,60.85,0.458622249,0.26762922
ALDH2,0.2,0.285714286,16.57,0.167019454,45.9,0.345945131,0.26622629
ITGB3,0.1,0.142857143,34.37,0.346436851,41.03,0.309240277,0.26617809
SELE,0.1,0.142857143,33.67,0.339381111,41.96,0.316249623,0.266162626
MYH7,0,0,34.62,0.348956758,59.27,0.446713898,0.265223552
CXCL12,0.1,0.142857143,35.32,0.356012499,39.29,0.296126017,0.264998553
ABCG8,0.13,0.185714286,41.45,0.417800625,24.47,0.184428701,0.262647871
ESR2,0.31,0.442857143,13.24,0.133454289,27.99,0.210958698,0.262423377
NFKBIA,0.02,0.028571429,23.73,0.239189598,68.42,0.515676816,0.261145948
LCAT,0.03,0.042857143,45.59,0.459530289,37.13,0.279846247,0.26074456
IL1A,0.09,0.128571429,25.98,0.261868763,51.33,0.386870666,0.259103619
LEPR,0.06,0.085714286,24.14,0.243322246,58.93,0.444151342,0.257729291
FBN1,0.07,0.1,44.04,0.443906864,30.37,0.228896593,0.257601152
CYP2C9,0.02,0.028571429,22.88,0.230621913,67.91,0.511832982,0.257008775
CCL3,0,0,30.53,0.307731075,61.36,0.462466084,0.256732386
FOXP3,0.05,0.071428571,37.34,0.376373349,42.66,0.321525475,0.256442465
NFKB1,0.1,0.142857143,17.22,0.173571213,59.71,0.450030148,0.255486168
CST3,0.1,0.142857143,41.29,0.416187884,27.49,0.207190232,0.255411753
PLAT,0.01,0.014285714,32.35,0.326076,56.32,0.424479952,0.254947222
CDKN1A,0,0,22.64,0.228202802,70.89,0.534293036,0.254165279
CCL5,0.08,0.114285714,22.25,0.224271747,56.18,0.423424781,0.253994081
ACTB,0.06,0.085714286,25.17,0.253704264,56.03,0.422294242,0.253904264
CYP3A4,0.03,0.042857143,9.3,0.09374055,82.66,0.623002713,0.253200135
PON2,0.1,0.142857143,38.78,0.390888015,28.95,0.218194151,0.250646436
MYC,0,0,29.92,0.301582502,59.53,0.4486735,0.250085334
NOTCH1,0.06,0.085714286,40.8,0.411248866,33.37,0.251507386,0.249490179
MIR155,0.09,0.128571429,37.11,0.374055035,32.47,0.244724148,0.249116871
SERPINC1,0.01,0.014285714,42.21,0.425461143,40.6,0.305999397,0.248582085
IL17A,0.1,0.142857143,29.47,0.297046669,40.27,0.30351221,0.247805341
POMC,0,0,35.07,0.353492591,51.51,0.388227314,0.247239968
HLA-DRB1,0.04,0.057142857,42.27,0.426065921,34.11,0.257084715,0.246764498
PLG,0.09,0.128571429,40.35,0.406713033,27.16,0.204703045,0.246662502
TGFB2,0,0,36.68,0.369720794,48.86,0.368254447,0.245991747
TLR2,0.02,0.028571429,45.34,0.457010382,33.38,0.251582756,0.245721522
GSR,0.01,0.014285714,29.15,0.293821187,56.92,0.42900211,0.245703004
PPARGC1A,0.04,0.057142857,23.35,0.235359339,58.85,0.443548387,0.245350194
TIMP1,0.02,0.028571429,24.88,0.250781171,60.53,0.456210431,0.245187677
IL2,0.02,0.028571429,29.29,0.295232335,54.55,0.411139584,0.244981116
EPO,0.03,0.042857143,39.99,0.403084366,38.08,0.287006331,0.244315947
ALOX5,0.19,0.271428571,27.62,0.278399355,24.21,0.182469099,0.244099008
HP,0.1,0.142857143,28.2,0.28424554,40.44,0.304793488,0.24396539
TGFBR2,0.02,0.028571429,33.25,0.335147667,48.36,0.364485981,0.242735026
G6PD,0,0,26.01,0.262171152,61.81,0.465857703,0.242676285
MYH6,0.06,0.085714286,36.66,0.369519202,35.83,0.270048236,0.241760575
CFH,0.09,0.128571429,34.96,0.352383832,32.22,0.242839916,0.241265059
GJA1,0,0,38.27,0.385747404,44.78,0.337503768,0.241083724
APOA2,0.03,0.042857143,36.97,0.372643887,40.81,0.307582153,0.241027728
DNAH11,0.41,0.585714286,6.65,0.067029533,9,0.067832379,0.240192066
ELN,0,0,56.76,0.572119746,18.94,0.142749472,0.238289739
ADRB1,0.02,0.028571429,19.87,0.20028223,64.36,0.485076877,0.237976845
TNFRSF1B,0.05,0.071428571,38.73,0.390384034,33.32,0.25113054,0.237647715
MEF2A,0.1,0.142857143,35.15,0.354298962,28.58,0.215405487,0.237520531
MIF,0.23,0.328571429,14.28,0.143937103,31.5,0.237413325,0.236640619
GPX1,0.06,0.085714286,21.63,0.218022377,53.66,0.404431715,0.236056126
TIMP2,0.01,0.014285714,15.86,0.159862917,70.78,0.533463973,0.235870868
ATM,0.05,0.071428571,27.24,0.274569096,47.84,0.360566777,0.235521481
COL3A1,0.01,0.014285714,27.61,0.278298559,54.82,0.413174555,0.235252943
CYP1A1,0.08,0.114285714,9.93,0.100090717,64.7,0.487639433,0.234005288
ENPP1,0.03,0.042857143,43.23,0.435742365,29.32,0.220982816,0.233194108
CASP8,0,0,27.54,0.277592985,55.93,0.421540549,0.233044511
AR,0.14,0.2,29.62,0.298558613,26.56,0.200180886,0.232913166
LIPA,0.16,0.228571429,34.41,0.346840036,16.27,0.122625867,0.232679111
CDKN2B-AS1,0.2,0.285714286,35.12,0.353996573,7.54,0.056828459,0.232179773
FASLG,0.01,0.014285714,17.81,0.179518194,66.55,0.501582756,0.231795555
MIR126,0.1,0.142857143,41.03,0.413567181,17.89,0.134835695,0.230420006
F5,0.08,0.114285714,36.47,0.367604072,27.64,0.208320772,0.230070186
STAT1,0,0,31.06,0.313073279,50.02,0.376997287,0.230023522
ZC3HC1,0.44,0.628571429,3.68,0.037093035,2.99,0.022535424,0.229399963
CXCR4,0.02,0.028571429,36.95,0.372442294,37.74,0.284443774,0.228485832
IL12B,0.01,0.014285714,18.42,0.185666767,63.84,0.481157673,0.227036718
HFE,0.1,0.142857143,40.78,0.411047273,16.84,0.126921917,0.226942111
MME,0,0,33.82,0.340893055,44.94,0.338709677,0.226534244
APOA5,0.1,0.142857143,43.08,0.43423042,13.46,0.101447091,0.226178218
SLC22A3,0.16,0.228571429,4.84,0.048785405,53.21,0.401040096,0.22613231
CASP1,0.03,0.042857143,16.36,0.164902732,62.28,0.46940006,0.225719978
TGFBR1,0,0,33.43,0.336962,45.04,0.339463371,0.225475124
HGF,0.04,0.057142857,29.66,0.298961798,42.28,0.318661441,0.224922032
TNNI3,0.03,0.042857143,45.24,0.456002419,23.33,0.175836599,0.22489872
CAV1,0.02,0.028571429,30.75,0.309948594,44.38,0.334488996,0.22433634
GPT,0.03,0.042857143,28.72,0.289486947,45.12,0.340066325,0.224136805
C3,0.03,0.042857143,31.39,0.316399556,41.52,0.312933374,0.224063358
CYP2D6,0.01,0.014285714,26.61,0.26821893,51.59,0.388830268,0.223778304
VDR,0.1,0.142857143,14.95,0.150690455,50.03,0.377072656,0.223540085
KCNQ1,0.1,0.142857143,29.16,0.293921984,30.96,0.233343383,0.22337417
JUN,0,0,9.97,0.100493902,75.56,0.569490503,0.223328135
SLC22A1,0.1,0.142857143,3.62,0.036488257,65.04,0.49020199,0.223182463
B2M,0.02,0.028571429,30.35,0.305916742,44.39,0.334564365,0.223017512
HIF1A,0.05,0.071428571,23.87,0.240600746,46.99,0.354160386,0.222063234
P2RY12,0.1,0.142857143,26.39,0.266001411,33.63,0.253466988,0.220775181
NKX2-5,0.1,0.142857143,33.93,0.342001814,23.36,0.176062707,0.220307221
ITGB1,0,0,12.49,0.125894567,70.62,0.532258065,0.219384211
NCF1,0,0,18.6,0.187481101,62.43,0.4705306,0.219337234
FLT1,0.11,0.157142857,28.67,0.288982965,27.92,0.210431112,0.218852311
SREBF1,0.04,0.057142857,13.62,0.137284548,61.21,0.461335544,0.21858765
JAK2,0.01,0.014285714,29.07,0.293014817,46.04,0.347000301,0.218100277
NR1H3,0.15,0.214285714,7.25,0.073077311,48.66,0.366747061,0.218036695
FGF2,0.01,0.014285714,22.73,0.229109969,54.43,0.410235152,0.217876945
CYP2C19,0.1,0.142857143,18.85,0.190001008,42.53,0.320545674,0.217801275
EDNRB,0,0,35.38,0.356617276,39.35,0.296578233,0.217731836
KCNH2,0,0,29.3,0.295333132,47.43,0.357476636,0.217603256
NPC1,0.02,0.028571429,50.54,0.509424453,15.18,0.114410612,0.217468831
MTR,0.1,0.142857143,29.95,0.301884891,27.48,0.207114863,0.217285632
HRAS,0,0,37.55,0.378490072,36.2,0.272836901,0.217108991
MMP13,0.02,0.028571429,27.55,0.277693781,45.76,0.344889961,0.217051724
XDH,0,0,26.59,0.268017337,50.83,0.383102201,0.217039846
COMT,0.02,0.028571429,38.72,0.390283238,30.74,0.231685258,0.216846642
CASP9,0,0,13.82,0.139300474,67.83,0.511230027,0.2168435
THBS1,0.02,0.028571429,14.78,0.148976918,62.74,0.472867049,0.216805132
SQSTM1,0,0,24.63,0.248261264,53.29,0.401643051,0.216634772
MIR145,0.03,0.042857143,39.39,0.397036589,27.79,0.209451311,0.216448348
COL4A1,0.05,0.071428571,24.72,0.249168431,43.52,0.328007235,0.216201412
KDR,0.08,0.114285714,23.5,0.236871283,39.25,0.29582454,0.215660512
CLU,0.03,0.042857143,22.53,0.227094043,49.95,0.376469702,0.215473629
CD14,0.1,0.142857143,16.24,0.163693176,45.09,0.339840217,0.215463512
PSEN1,0,0,47.76,0.481403084,21.34,0.160838107,0.214080397
LTA,0.1,0.142857143,32.11,0.323656889,23.28,0.175459753,0.213991262
H19,0,0,35.35,0.356314888,37.8,0.28489599,0.213736959
ITGA2,0.01,0.014285714,26.32,0.265295837,47.95,0.36139584,0.21365913
MYH11,0,0,35.81,0.360951517,36.95,0.278489599,0.213147039
ABCC9,0.2,0.285714286,22.56,0.227396432,16.22,0.12224902,0.211786579
SMPD1,0,0,48.43,0.488156436,19.45,0.146593307,0.211583248
GLA,0,0,44.62,0.449753049,24.21,0.182469099,0.210740716
KL,0.1,0.142857143,25.54,0.257433726,30.67,0.231157673,0.210482847
KCNJ8,0.2,0.285714286,19.29,0.194436045,19.66,0.148176063,0.209442131
IL13,0,0,34.51,0.347847999,37.14,0.279921616,0.209256538
GSTM1,0.1,0.142857143,12.24,0.12337466,47.56,0.358456437,0.208229413
ANGPTL4,0.1,0.142857143,5.31,0.05352283,56.58,0.426439554,0.207606509
CACNA1C,0.01,0.014285714,26.53,0.267412559,45.17,0.340443172,0.207380482
CYP7A1,0.03,0.042857143,28.46,0.286866243,38.77,0.292206813,0.207310066
CPT2,0,0,22.41,0.225884487,52.47,0.395462768,0.207115752
ALOX5AP,0.09,0.128571429,17.98,0.181231731,41.14,0.31006934,0.206624167
FADS2,0.15,0.214285714,5.47,0.055135571,46.18,0.348055472,0.205825586
MGP,0.04,0.057142857,33.57,0.338373148,29.29,0.220756708,0.205424238
CYCS,0,0,18.95,0.191008971,56.26,0.424027736,0.205012236
KCNJ11,0.11,0.157142857,20.92,0.21086584,32.7,0.246457642,0.204822113
CCDC92,0.33,0.471428571,6.13,0.061788126,10.77,0.081172746,0.204796481
NOX4,0.01,0.014285714,10.26,0.103416994,65.6,0.494422671,0.204041793
LCN2,0.04,0.057142857,18.9,0.190504989,48.24,0.36358155,0.203743132
EDNRA,0.02,0.028571429,27.23,0.2744683,40.72,0.306903829,0.203314519
CYP17A1,0.13,0.185714286,13.65,0.137586937,37.87,0.285423576,0.202908266
ABCC4,0,0,3.15,0.031750832,76.54,0.576876696,0.202875843
SCN5A,0.02,0.028571429,39.57,0.398850922,23.86,0.179831173,0.202417841
TNNT2,0,0,39.79,0.401068441,27.22,0.205155261,0.202074567
NR1H4,0,0,27.03,0.272452374,44.01,0.331700332,0.201384235
TTR,0.01,0.014285714,39.58,0.398951719,25.19,0.189855291,0.201030908
APOA4,0.1,0.142857143,18.45,0.185969156,36.27,0.273364486,0.200730262
ABCB11,0,0,10.57,0.106541679,65.7,0.495176364,0.200572681
MAPK8,0.01,0.014285714,16.67,0.168027417,55.62,0.4192041,0.200505744
GSTT1,0.1,0.142857143,9.52,0.095958069,48.1,0.362526379,0.200447197
TNFRSF11A,0.02,0.028571429,28.38,0.286059873,37.77,0.284669882,0.199767061
PTEN,0.02,0.028571429,19.49,0.196451971,49.58,0.373681037,0.199568146
ALPL,0.01,0.014285714,27.5,0.277189799,40.63,0.306225505,0.199233673
GNAS,0,0,29.09,0.29321641,40.35,0.304115164,0.199110525
AGER,0.1,0.142857143,21.45,0.216208044,31.55,0.237790172,0.198951786
ERBB2,0,0,30.65,0.308940631,38.09,0.2870817,0.19867411
RYR2,0.01,0.014285714,32.11,0.323656889,34.17,0.257536931,0.198493178
CALR,0,0,22.37,0.225481302,49.02,0.369460356,0.198313886
PHACTR1,0.2,0.285714286,21.94,0.221147062,11.67,0.087955984,0.198272444
SLC22A5,0,0,20,0.201592581,52.16,0.393126319,0.198239633
RAC1,0.01,0.014285714,17.96,0.181030138,52.99,0.399381972,0.198232608
EGF,0.01,0.014285714,33.96,0.342304203,31.58,0.23801628,0.198202066
HSPB1,0.01,0.014285714,21.7,0.218727951,47.91,0.361094362,0.198036009
PTH,0.04,0.057142857,28.27,0.284951114,33.1,0.249472415,0.197188795
VIM,0.02,0.028571429,12.81,0.129120048,57.53,0.433599638,0.197097038
AVP,0.05,0.071428571,26.08,0.262876726,34.08,0.256858607,0.197054635
F8,0.01,0.014285714,41.76,0.42092531,20.62,0.155411516,0.19687418
CREB1,0,0,13.72,0.138292511,59.76,0.450406994,0.196233168
MAPT,0,0,28.89,0.291200484,39.4,0.29695508,0.196051855
IL6R,0.19,0.271428571,16.34,0.164701139,20.1,0.151492312,0.195874007
GATA6,0.05,0.071428571,29.11,0.293418002,29.15,0.219701538,0.19484937
RUNX2,0,0,22.44,0.226186876,47.51,0.35807959,0.194755489
ITGAM,0.01,0.014285714,30.96,0.312065316,34.19,0.25768767,0.194679567
SLC6A4,0.02,0.028571429,33.36,0.336256426,28.85,0.217440458,0.194089438
GGT1,0.01,0.014285714,29.28,0.295131539,36.2,0.272836901,0.194084718
NLRP3,0.07,0.1,17.68,0.178207842,40.27,0.30351221,0.193906684
CCND1,0,0,14.98,0.150992843,56.81,0.428173048,0.193055297
FADS1,0.16,0.228571429,6.15,0.061989719,38.21,0.287986132,0.192849093
MAPK14,0,0,18.2,0.183449249,52.25,0.393804643,0.192417964
SIRT1,0.1,0.142857143,16.4,0.165305917,35.69,0.268993066,0.192385375
SMAD4,0,0,35.34,0.356214091,29.24,0.220379861,0.192197984
NGF,0,0,18.6,0.187481101,51.31,0.386719928,0.191400343
RAF1,0.01,0.014285714,24.86,0.250579579,41.04,0.309315647,0.191393647
ADM,0.02,0.028571429,20.78,0.209454692,44.59,0.336071752,0.191365958
ABL1,0.1,0.142857143,21.56,0.217316803,28.29,0.213219777,0.191131241
FABP4,0.06,0.085714286,12.63,0.127305715,47.81,0.360340669,0.191120223
CDKN1B,0,0,11.16,0.11248866,61,0.459752789,0.19074715
BCL2L1,0,0,12.42,0.125188993,59.12,0.445583358,0.19025745
FLNA,0.06,0.085714286,29.48,0.297147465,24.84,0.187217365,0.190026372
RB1,0,0,20.83,0.209958674,47.78,0.360114561,0.190024412
SRC,0.01,0.014285714,26.53,0.267412559,38.02,0.286554115,0.189417463
LAMP2,0.02,0.028571429,32.18,0.324362463,28.52,0.214953271,0.189295721
CCL11,0,0,28.79,0.290192521,36.81,0.277434429,0.189208983
NEFL,0,0,36.61,0.36901522,26.33,0.198447392,0.189154204
MTOR,0,0,19.06,0.19211773,49.5,0.373078083,0.188398604
SREBF2,0.03,0.042857143,13.11,0.132143937,51.76,0.390111547,0.188370876
GSK3B,0,0,10.01,0.100897087,61.5,0.463521254,0.188139447
COL4A2,0.15,0.214285714,12.2,0.122971475,30.11,0.226936991,0.188064727
MYD88,0.01,0.014285714,31.49,0.317407519,30.66,0.231082303,0.187591845
FGB,0.09,0.128571429,21.3,0.214696099,29.04,0.218872475,0.187380001
ANGPTL3,0.1,0.142857143,18.85,0.190001008,30.34,0.228670485,0.187176212
GDF15,0.09,0.128571429,17.16,0.172966435,34.36,0.258968948,0.186835604
LRP1,0.01,0.014285714,30.97,0.312166112,31.02,0.233795598,0.186749141
TNFSF10,0.01,0.014285714,7.67,0.077310755,62.17,0.468570998,0.186722489
HLA-DQB1,0.03,0.042857143,34.58,0.348553573,22.36,0.168525776,0.186645497
TGFB3,0,0,33.18,0.334442093,29.91,0.225429605,0.186623899
EGR1,0.04,0.057142857,10.18,0.102610624,53.08,0.400060295,0.186604592
NR3C2,0.04,0.057142857,27.26,0.274770688,30.08,0.226710883,0.186208143
RYR1,0,0,41.85,0.421832477,18.11,0.13649382,0.186108766
HMGB1,0.07,0.1,17.54,0.176796694,37.19,0.280298462,0.185698385
CCR2,0.08,0.114285714,14.19,0.143029936,39.63,0.298688574,0.185334741
GSN,0,0,13.56,0.13667977,55.6,0.419053361,0.185244377
ABCA4,0,0,45.28,0.456405604,12.94,0.097527887,0.184644497
NOS1,0.02,0.028571429,18.83,0.189799415,44.42,0.334790473,0.184387106
MYL2,0.1,0.142857143,15.3,0.154218325,33.88,0.255351221,0.18414223
BMP2,0.03,0.042857143,14.9,0.150186473,47.5,0.358004221,0.183682612
CP,0.01,0.014285714,17.9,0.18042536,47.12,0.355140187,0.183283754
BMP4,0.02,0.028571429,25.09,0.252897893,35.55,0.267937896,0.183135739
GLB1,0,0,29.13,0.293619595,33.87,0.255275852,0.182965149
DDIT3,0,0,11,0.11087592,57.96,0.436840519,0.182572146
SERPINA3,0,0,27.95,0.281725632,35.02,0.263943322,0.181889651
TIMP3,0,0,22.03,0.222054228,42.9,0.323334338,0.181796189
CSF2,0.01,0.014285714,17.61,0.177502268,46.75,0.352351522,0.181379835
JCAD,0.15,0.214285714,12.73,0.128313678,26.73,0.201462165,0.181353852
MIR223,0.07,0.1,33.63,0.338977926,13.9,0.10476334,0.181247089
