num,Database,herb,MOLID,PubChem_CID,Biological_Test_Results,BBB_OB,SMILES,genes_from_tcmsp,genes_from_pubchem,genes_from_sea,genes_total,Ingredient_Name
1493,TCMSP,gancao,MOL004957,NO,,,,"SLC6A4,GSK3B,PTGS1,SCN5A,PTGS2,SLC6A3,RXRA,PRSS1,ESR2,CCNA2,ADRB2,AR,MAPK14,CHEK1,MAOB,CHRM1,ESR1",,,"SLC6A4,GSK3B,PTGS1,PTGS2,PRSS1,ADRB2,MAOB,ESR1,SCN5A,SLC6A3,RXRA,ESR2,CCNA2,AR,MAPK14,CHEK1,CHRM1",HMO
1502,TCMSP,gancao,MOL004989,NO,,,,"SCN5A,PTGS2,F7,ESR1",,,"SCN5A,PTGS2,F7,ESR1",6-prenylated eriodictyol
1485,TCMSP,gancao,MOL004910,124049,Exist,,CC(=CCC1=C2C(=C(C=C1O)O)C(=O)CC(O2)C3=CC=CC=C3)C,"SCN5A,PTGS2,ESR1,PTGS1","CYP3A4,CYP2C19,CYP2C9,MAPT,CYP1A2","ABCG2,PTPN1,CYP19A1","PTPN1,CYP3A4,PTGS1,SCN5A,PTGS2,CYP2C19,CYP19A1,CYP2C9,ABCG2,MAPT,CYP1A2,ESR1",Glabranin
1514,TCMSP,gancao,MOL005020,NO,,,,"PTGS2,SCN5A,PRSS1,ESR2,CCNA2,ADRB2,AR,NCOA2,MAPK14,CHEK1,ESR1",,,"PTGS2,SCN5A,PRSS1,ESR2,CCNA2,ADRB2,AR,NCOA2,MAPK14,CHEK1,ESR1",dehydroglyasperins C
1430,TCMSP,chaihu,MOL004609,NO,,,,"PTGS2,SCN5A,PRSS1,ESR2,AR,NCOA2,NCOA1,F7",,,"PTGS2,SCN5A,PRSS1,ESR2,AR,NCOA2,NCOA1,F7",Areapillin
1476,TCMSP,gancao,MOL004866,NO,,,,"PTGS2,SCN5A,PRSS1,CCNA2,ADRB2,AR,CHEK1,F7",,,"PTGS2,SCN5A,PRSS1,CCNA2,ADRB2,AR,CHEK1,F7","2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-6-(3-methylbut-2-enyl)chromone"
1457,TCMSP,gancao,MOL004806,NO,,,,"PTGS2,SCN5A,ESR2,KCNH2,ESR1",,,"PTGS2,SCN5A,ESR2,KCNH2,ESR1",euchrenone
1468,TCMSP,gancao,MOL004838,NO,,,,"PTGS2,RXRA,ESR1",,,"PTGS2,RXRA,ESR1","8-(6-hydroxy-2-benzofuranyl)-2,2-dimethyl-5-chromenol"
1477,TCMSP,gancao,MOL004879,480787,Exist,,CC(=CCC1=C(C=C2C(=C1OC)C=C(C(=O)O2)C3=C(C=C(C=C3)O)O)OC)C,"PTGS2,PRSS1,KDR,ESR2,AR,KCNH2,NCOA2,CHEK1,ESR1",,,"PTGS2,PRSS1,ESR2,KDR,AR,KCNH2,NCOA2,CHEK1,ESR1",Glycyrin
1479,TCMSP,gancao,MOL004883,5281789,Exist,,CC(=CCC1=C(C=CC(=C1O)C2=COC3=CC(=CC(=C3C2=O)O)O)O)C,"PTGS2,PRSS1,KDR,CCNA2,AR,NCOA2,MAPK14,CHEK1,ESR1",,PTPN1,"PTPN1,PTGS2,PRSS1,KDR,CCNA2,AR,NCOA2,MAPK14,CHEK1,ESR1",Licoisoflavone
1507,TCMSP,gancao,MOL005001,5481949,Exist,,CC(=CCC1=C(C2=C(C=C1O)OC=C(C2=O)C3=CC4=C(C(=C3)O)OC(C=C4)(C)C)O)C,"PTGS2,PRSS1,KDR,CCNA2,AR,NCOA2,ESR1",PTPN1,PTPN1,"PTPN1,PTGS2,PRSS1,KDR,CCNA2,AR,NCOA2,ESR1",Gancaonin H
1471,TCMSP,gancao,MOL004855,5319013,Exist,,CC(=CCC1=C(C=C(C(=C1OC)C2=COC3=C(C2=O)C=CC(=C3)O)O)OC)C,"PTGS2,PRSS1,KDR,AR,KCNH2,NCOA2,CHEK1,ESR1",,,"PTGS2,PRSS1,KDR,AR,KCNH2,NCOA2,CHEK1,ESR1",Licoricone
1437,TCMSP,chaihu,MOL004598,NO,,,,"PTGS2,PRSS1,ACHE,ESR2,AR,NCOA2,F7,ESR1",,,"PTGS2,PRSS1,ESR2,ACHE,AR,NCOA2,F7,ESR1","3,5,6,7-tetramethoxy-2-(3,4,5-trimethoxyphenyl)chromone"
1436,TCMSP,chaihu,MOL001645,21159087,,,CCCCCC=CCC=CCCCCCCCCOC(=O)C,"PTGS2,NCOA2,RXRA,PTGS1",,"FABP3,PPARG,CNR1,OXER1","OXER1,PTGS1,CNR1,PTGS2,PPARG,RXRA,NCOA2,FABP3",Linoleyl acetate
1513,TCMSP,gancao,MOL005018,14769500,,,CC1(C=CC2=C(O1)C=CC(=C2)C3CC(=O)C4=C(O3)C5=C(C=C4)OC(C=C5)(C)C)C,"PTGS2,NCOA2,ESR1,ESR2",,,"PTGS2,NCOA2,ESR1,ESR2",Xambioona
1433,TCMSP,chaihu,MOL004653,6450453,Exist,,CC=C(C)C(=O)OC1C(C(OC2=C1C3=C(C=C2)C=CC(=O)O3)(C)C)OC(=O)C(=CC)C,"PTGS2,KCNH2","NPY2R,CACNA1H,NPY1R,SMAD3,HCRTR1,STK33,KCNK3,GRK2,KCNK9",,"NPY2R,CACNA1H,PTGS2,NPY1R,SMAD3,KCNH2,HCRTR1,STK33,KCNK3,GRK2,KCNK9",(+)-Anomalin
1501,TCMSP,gancao,MOL004988,101666840,,,CC(=CCC1=C(C2=C(C=C1O)OCC3C2OC4=C3C=C5C=CC(OC5=C4)(C)C)OC)C,"PTGS2,ESR2,AR,NCOA2,ESR1",,,"PTGS2,ESR2,AR,NCOA2,ESR1",Kanzonol F
1516,TCMSP,shengjiang,MOL006129,NO,,,,"PTGS2,ESR1",,,"PTGS2,ESR1",6-methylgingediacetate2
1434,TCMSP,chaihu,MOL000449,5280794,Exist,,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,"PTGS2,ADRB2,CTRB1,MAOB,NCOA1,PLAU,CHRM2,GABRA1,CHRM1,ADRA2A,PTGS1,PGR,NR3C2,ADRA1A,ADRB1,LTA4H,CHRM3,SCN5A,ADH1C,RXRA,SLC6A3,ADRA1B,MAOA,NCOA2,SLC6A2",POLB,"NR1H3,POLA1,NR1H2,ESR2,SRD5A2,SHBG,AR,SREBF2,NPC1L1,ESR1,CYP17A1","PTGS2,SRD5A2,ADRB2,CTRB1,MAOB,NCOA1,ESR1,PLAU,CHRM2,GABRA1,POLB,POLA1,SHBG,AR,SREBF2,CHRM1,ADRA2A,CYP17A1,PTGS1,PGR,NR3C2,ADRA1A,ADRB1,LTA4H,NR1H3,CHRM3,SCN5A,ADH1C,RXRA,SLC6A3,ADRA1B,NR1H2,ESR2,MAOA,NCOA2,NPC1L1,SLC6A2",Stigmasterol
1439,TCMSP,danggui,MOL000449,5280794,Exist,,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,"PTGS2,ADRB2,CTRB1,MAOB,NCOA1,PLAU,CHRM2,GABRA1,CHRM1,ADRA2A,PTGS1,PGR,NR3C2,ADRA1A,ADRB1,LTA4H,CHRM3,SCN5A,ADH1C,RXRA,SLC6A3,ADRA1B,MAOA,NCOA2,SLC6A2",POLB,"NR1H3,POLA1,NR1H2,ESR2,SRD5A2,SHBG,AR,SREBF2,NPC1L1,ESR1,CYP17A1","PTGS2,SRD5A2,ADRB2,CTRB1,MAOB,NCOA1,ESR1,PLAU,CHRM2,GABRA1,POLB,POLA1,SHBG,AR,SREBF2,CHRM1,ADRA2A,CYP17A1,PTGS1,PGR,NR3C2,ADRA1A,ADRB1,LTA4H,NR1H3,CHRM3,SCN5A,ADH1C,RXRA,SLC6A3,ADRA1B,NR1H2,ESR2,MAOA,NCOA2,NPC1L1,SLC6A2",Stigmasterol
1517,TCMSP,shengjiang,MOL000449,5280794,Exist,,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,"PTGS2,ADRB2,CTRB1,MAOB,NCOA1,PLAU,CHRM2,GABRA1,CHRM1,ADRA2A,PTGS1,PGR,NR3C2,ADRA1A,ADRB1,LTA4H,CHRM3,SCN5A,ADH1C,RXRA,SLC6A3,ADRA1B,MAOA,NCOA2,SLC6A2",POLB,"NR1H3,POLA1,NR1H2,ESR2,SRD5A2,SHBG,AR,SREBF2,NPC1L1,ESR1,CYP17A1","PTGS2,SRD5A2,ADRB2,CTRB1,MAOB,NCOA1,ESR1,PLAU,CHRM2,GABRA1,POLB,POLA1,SHBG,AR,SREBF2,CHRM1,ADRA2A,CYP17A1,PTGS1,PGR,NR3C2,ADRA1A,ADRB1,LTA4H,NR1H3,CHRM3,SCN5A,ADH1C,RXRA,SLC6A3,ADRA1B,NR1H2,ESR2,MAOA,NCOA2,NPC1L1,SLC6A2",Stigmasterol
1465,TCMSP,gancao,MOL004829,442411,,,CC(=CCC1=C2C(=C(C=C1O)O)C(=O)C(C(O2)C3=CC=CC=C3)O)C,"PTGS1,SCN5A,PTGS2,ADRA1B,RXRA,NCOA1,F7,ESR1",,,"PTGS1,SCN5A,PTGS2,ADRA1B,RXRA,NCOA1,F7,ESR1",Glepidotin B
1491,TCMSP,gancao,MOL004945,NO,,,,"PTGS1,SCN5A,PTGS2,ADRA1B,ESR2,ADRB2,ESR1",,,"PTGS1,SCN5A,ADRA1B,PTGS2,ESR2,ADRB2,ESR1",(2S)-7-hydroxy-2-(4-hydroxyphenyl)-8-(3-methylbut-2-enyl)chroman-4-one
1450,TCMSP,gancao,MOL000239,5318869,Exist,,COC1=CC(=C2C(=C1)OC(=C(C2=O)OC)C3=CC=C(C=C3)O)O,"PTGS1,PTGS2,SCN5A,PRSS1,ESR2,AR,NCOA2,CHEK1",,"XDH,ALDH2,ESR2,AKR1B1,ABCG2,MAOA,ABCB1,NOX4,CYP1B1,ESR1","ALDH2,PTGS1,PTGS2,PRSS1,AKR1B1,ABCB1,CYP1B1,ESR1,XDH,SCN5A,ESR2,ABCG2,AR,NCOA2,MAOA,NOX4,CHEK1",Jaranol
1499,TCMSP,gancao,MOL004980,NO,,,,"PTGS1,PTGS2,SCN5A,PRSS1,ADRB2,AR,NCOA2,ESR1",,,"PTGS1,PTGS2,SCN5A,PRSS1,ADRB2,AR,NCOA2,ESR1",Inflacoumarin A
1428,TCMSP,bohe,MOL005573,5281617,Exist,,COC1=CC(=C2C(=C1)OC(=CC2=O)C3=CC=C(C=C3)O)O,"PTGS1,PTGS2,RXRA,PRSS1,ESR2,AR,NCOA2,CHEK1,NCOA1",,"ALOX5,AKR1B1,ABCB1,GRK6,MAOB,ALOX15,ESR1,GLO1,CA7,AKR1B10,CA4,HSD17B1,CYP19A1,AR,AMY1A; AMY1B; AMY1C,NOX4,CYP1B1,NAE1,MPO,TTR,ACHE,CBR1,ABCC1,PTPRS,CA12,KCND3,XDH,TNKS2,APP,ESR2,ABCG2,MAOA,GPR35,TNKS","ALOX5,PTGS2,AKR1B1,ABCB1,GRK6,ALOX15,MAOB,NCOA1,GLO1,ESR1,CA7,AKR1B10,CA4,HSD17B1,CYP19A1,AR,AMY1A; AMY1B; AMY1C,NOX4,CHEK1,CYP1B1,NAE1,MPO,PTGS1,TTR,PRSS1,ACHE,CBR1,ABCC1,PTPRS,CA12,KCND3,XDH,TNKS2,APP,RXRA,ESR2,ABCG2,MAOA,NCOA2,GPR35,TNKS",Genkwanin
1442,TCMSP,fuling,MOL000283,5351516,Exist,,CC(C)C(C)C=CC(C)C1CCC2C1(CCC3C24C=CC5(C3(CCC(C5)O)C)OO4)C,PGR,NR1H4,,"NR1H4,PGR",Ergosterol peroxide
1441,TCMSP,fuling,MOL000282,NO,,,,PGR,,,PGR,"ergosta-7,22E-dien-3beta-ol"
1419,TCMSP,baishao,MOL000211,64971,Exist,,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O,PGR,"GSK3B,UBA2,DNMT1,PRKAG2,AKR1B1,CFTR,PRKAB2,STK33,PRKAA1,GPBAR1,PRKAG3,TDP1,AKR1B10,DRD2,NR1H3,UBE2I,MDM2,POLB,MDM4,IFNG,ALB,PRKAB1,SAE1,PRKAA2,PRKAG1","AKR1B10,UBA2,SAE1,F3,GPBAR1","GSK3B,F3,PGR,UBA2,DNMT1,PRKAG2,AKR1B1,CFTR,PRKAB2,STK33,PRKAA1,GPBAR1,PRKAG3,TDP1,AKR1B10,DRD2,NR1H3,UBE2I,MDM2,POLB,MDM4,IFNG,ALB,PRKAB1,SAE1,PRKAA2,PRKAG1",Mairin
1448,TCMSP,gancao,MOL000211,64971,Exist,,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O,PGR,"GSK3B,UBA2,DNMT1,PRKAG2,AKR1B1,CFTR,PRKAB2,STK33,PRKAA1,GPBAR1,PRKAG3,TDP1,AKR1B10,DRD2,NR1H3,UBE2I,MDM2,POLB,MDM4,IFNG,ALB,PRKAB1,SAE1,PRKAA2,PRKAG1","AKR1B10,UBA2,SAE1,F3,GPBAR1","GSK3B,F3,PGR,UBA2,DNMT1,PRKAG2,AKR1B1,CFTR,PRKAB2,STK33,PRKAA1,GPBAR1,PRKAG3,TDP1,AKR1B10,DRD2,NR1H3,UBE2I,MDM2,POLB,MDM4,IFNG,ALB,PRKAB1,SAE1,PRKAA2,PRKAG1",Mairin
1423,TCMSP,baizhu,MOL000033,NO,,,,PGR,,,PGR,"(3S,8S,9S,10R,13R,14S,17R)-10,13-dimethyl-17-[(2R,5S)-5-propan-2-yloctan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol"
1446,TCMSP,gancao,MOL001484,91510,Exist,,C1C2C(C3=C(O1)C=C(C=C3)O)OC4=CC5=C(C=C24)OCO5,"OPRM1,PTGS1,CHRM3,PTGS2,SCN5A,RXRA,ADRA1B,PRSS1,ADRB2,ADRA1D,HTR3A,CHRM1",,,"OPRM1,PTGS1,CHRM3,PTGS2,SCN5A,RXRA,ADRA1B,PRSS1,ADRB2,ADRA1D,HTR3A,CHRM1",Inermine
1424,TCMSP,baizhu,MOL000049,NO,,,,"OPRM1,CHRM2,PTGS2,CHRM3,SCN5A,RXRA,GABRA1,ACHE,ADRB2,AR,ADRA1A,CHRM1",,,"OPRM1,CHRM2,PTGS2,SCN5A,CHRM3,RXRA,GABRA1,ACHE,ADRB2,AR,ADRA1A,CHRM1",3beta-acetoxyatractylone
1435,TCMSP,chaihu,MOL004718,5281331,Exist,,CCC(C=CC(C)C1CCC2C1(CCC3C2=CCC4C3(CCC(C4)O)C)C)C(C)C,"NR3C2,NCOA2,PGR",,,"NR3C2,NCOA2,PGR",alpha-spinasterol
1421,TCMSP,baishao,MOL000359,222284,Exist,,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,"NR3C2,NCOA2,PGR","GSK3B,DPP4,POLB,PRKAG2,PRKAA1,PRKAB2,PRKAB1,PRKAA2,PRKAG1,F2,PRKAG3","NR1H3,RORC,NR1H2,ESR2,SHBG,AR,SREBF2,NPC1L1,ESR1,CYP17A1","GSK3B,PGR,NR3C2,PRKAG2,PRKAB2,PRKAA1,F2,PRKAG3,ESR1,DPP4,NR1H3,RORC,NR1H2,POLB,ESR2,SHBG,AR,NCOA2,SREBF2,PRKAB1,NPC1L1,PRKAA2,PRKAG1,CYP17A1",sitosterol
1427,TCMSP,bohe,MOL000359,222284,Exist,,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,"NR3C2,NCOA2,PGR","GSK3B,DPP4,POLB,PRKAG2,PRKAA1,PRKAB2,PRKAB1,PRKAA2,PRKAG1,F2,PRKAG3","NR1H3,RORC,NR1H2,ESR2,SHBG,AR,SREBF2,NPC1L1,ESR1,CYP17A1","GSK3B,PGR,NR3C2,PRKAG2,PRKAB2,PRKAA1,F2,PRKAG3,ESR1,DPP4,NR1H3,RORC,NR1H2,POLB,ESR2,SHBG,AR,NCOA2,SREBF2,PRKAB1,NPC1L1,PRKAA2,PRKAG1,CYP17A1",sitosterol
1452,TCMSP,gancao,MOL000359,222284,Exist,,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,"NR3C2,NCOA2,PGR","GSK3B,DPP4,POLB,PRKAG2,PRKAA1,PRKAB2,PRKAB1,PRKAA2,PRKAG1,F2,PRKAG3","NR1H3,RORC,NR1H2,ESR2,SHBG,AR,SREBF2,NPC1L1,ESR1,CYP17A1","GSK3B,PGR,NR3C2,PRKAG2,PRKAB2,PRKAA1,F2,PRKAG3,ESR1,DPP4,NR1H3,RORC,NR1H2,POLB,ESR2,SHBG,AR,NCOA2,SREBF2,PRKAB1,NPC1L1,PRKAA2,PRKAG1,CYP17A1",sitosterol
1440,TCMSP,fuling,MOL000275,12309443,Exist,,CC(=CCCC(C1CCC2(C1(CCC3=C2CCC4C3(CCC(C4(C)C)O)C)C)C)C(=O)O)C,NR3C2,,PTGES,"NR3C2,PTGES",trametenolic acid
1518,TCMSP,shengjiang,MOL001771,457801,Exist,,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,"NCOA2,PGR",,"NR1H3,RORC,NR1H2,ESR2,SHBG,AR,SREBF2,NPC1L1,ESR1,CYP17A1","PGR,NR1H3,RORC,NR1H2,ESR2,SHBG,AR,NCOA2,SREBF2,NPC1L1,ESR1,CYP17A1",poriferast-5-en-3beta-ol
1504,TCMSP,gancao,MOL004996,5460988,,,CCCCCCCCCCC=CCCCCCCCC(=O)O,NCOA2,,"PTPN7,FABP4,CNR2,TRPV1,EPHX2,SLC22A8,FABP3,SLC22A6,CNR1,PPARA,PPARD,OXER1,CES1,FAAH,FFAR4,TOP1,ALOX12,HMGCR,TLR2,PPARG","PTPN7,FFAR4,FABP4,CNR2,TRPV1,TOP1,EPHX2,SLC22A8,ALOX12,FABP3,HMGCR,SLC22A6,CNR1,OXER1,TLR2,PPARG,PPARA,PPARD,NCOA2,CES1,FAAH",gadelaidic acid
1500,TCMSP,gancao,MOL004985,3349565,,,CCCCCCCCCCCCCCC=CCCCC(=O)O,NCOA2,,"HMGCR,OXER1,FFAR4,CNR1,SLC22A6,TLR2,PPARG,PPARA,FABP4,TOP1,PPARD,EPHX2,SLC22A8,ALOX12,FABP3,FAAH","FFAR4,FABP4,TOP1,EPHX2,SLC22A8,ALOX12,FABP3,HMGCR,SLC22A6,CNR1,TLR2,OXER1,PPARG,PPARA,PPARD,NCOA2,FAAH",icos-5-enoic acid
1425,TCMSP,baizhu,MOL000072,NO,,,,"NCOA1,PTGS2,NCOA2,GABRA1",,,"NCOA1,PTGS2,NCOA2,GABRA1",8beta-ethoxy atractylenolide ¢ó
