Gene,org_score_in_DisGeNET,score_in_DisGeNET,org_score_in_GeneCards,score_in_GeneCards,org_score_in_CTD,score_in_CTD,avg_score
UNC5C,0.36,0.36,33.08,0.248106203,13.8,0.066993543,0.225033249
ABI3,0.35,0.35,2.13,0.015975399,2.31,0.011214137,0.125729845
TF,0.35,0.35,20.52,0.153903848,55.98,0.271760765,0.258554871
WWOX,0.35,0.35,1.79,0.013425336,11.59,0.056264867,0.139896734
SLC30A6,0.34,0.34,15.67,0.117527938,12.1,0.058740716,0.172089551
CHRNB2,0.34,0.34,14.95,0.112127803,16.84,0.081751541,0.177959781
EIF2S1,0.33,0.33,15.3,0.114752869,31.97,0.155201709,0.199984859
PGRMC1,0.33,0.33,1.2,0.009000225,17.48,0.084858488,0.141286238
F2,0.33,0.33,2.8,0.021000525,46.95,0.227923686,0.192974737
ARC,0.33,0.33,3.9,0.029250731,32.38,0.157192097,0.172147609
CALM1,0.33,0.33,16.1,0.120753019,24.59,0.119374727,0.190042582
IGF2R,0.32,0.32,3.72,0.027900698,21.58,0.104762367,0.150887688
ENO1,0.32,0.32,2.72,0.02040051,61.72,0.299626195,0.213342235
HLA-DRB5,0.32,0.32,4.16,0.03120078,0,0,0.117066927
TPI1,0.32,0.32,1.7,0.012750319,36.65,0.177921258,0.170223859
MIR375,0.31,0.31,2.84,0.021300533,19.74,0.095829895,0.142376809
MIR100,0.31,0.31,0.74,0.005550139,16.63,0.080732074,0.132094071
MIR296,0.31,0.31,0,0,14.5,0.070391767,0.126797256
SLC30A4,0.31,0.31,1.4,0.010500263,10.8,0.05242973,0.124309998
IQCK,0.31,0.31,1.43,0.010725268,11.62,0.056410505,0.125711924
SNAR-I,0.31,0.31,1.43,0.010725268,0,0,0.106908423
AMFR,0.31,0.31,0.36,0.002700068,15.46,0.075052187,0.129250752
SLC2A4,0.31,0.31,0.81,0.006075152,36.27,0.176076509,0.164050554
GAPDHS,0.3,0.3,1.82,0.013650341,18.3,0.088839264,0.134163202
PPARGC1A,0.3,0.3,2.28,0.017100428,55.13,0.267634351,0.194911593
IRS1,0.3,0.3,15.73,0.117977949,47.03,0.228312054,0.215430001
MAP2,0.3,0.3,17.17,0.128778219,33,0.160201952,0.196326724
MIR505,0.3,0.3,0,0,6.69,0.032477305,0.110825768
PIN1,0.3,0.3,23.84,0.17880447,11.01,0.053449197,0.177417889
MAPK14,0.3,0.3,16.94,0.127053176,50.38,0.244574979,0.223876052
MIR708,0.3,0.3,2.1,0.015750394,5.93,0.028787805,0.114846066
SOD1,0.3,0.3,20.33,0.152478812,85.38,0.41448614,0.288988317
GAPDH,0.3,0.3,20.44,0.153303833,63.31,0.307345017,0.253549617
CDK5,0.3,0.3,26.74,0.200555014,25.49,0.123743871,0.208099628
NOS2,0.3,0.3,16.44,0.123303083,117.78,0.571775329,0.331692804
PYY,0.3,0.3,2.54,0.019050476,16.79,0.081508811,0.133519762
NGFR,0.3,0.3,16.36,0.122703068,34.55,0.167726589,0.196809886
CHAT,0.3,0.3,25.45,0.190879772,41.1,0.199524249,0.230134674
S100B,0.3,0.3,18.29,0.137178429,39.34,0.190980145,0.209386191
SYP,0.3,0.3,18.1,0.135753394,45.4,0.220399048,0.218717481
NFE2L2,0.3,0.3,3.86,0.028950724,80.79,0.392203505,0.240384743
ADAMTS1,0.3,0.3,1.43,0.010725268,22.92,0.111267537,0.140664268
NGF,0.3,0.3,18.6,0.139503488,41.11,0.199572795,0.213025428
CTNNB1,0.3,0.3,16.49,0.123678092,57.16,0.277489199,0.23372243
MIR4467,0.3,0.3,0,0,0,0,0.1
NGB,0.3,0.3,1.34,0.010050251,22.55,0.109471334,0.139840528
LRP1,0.3,0.3,29.06,0.217955449,27.89,0.135394922,0.217783457
PTGS2,0.3,0.3,19.81,0.148578714,111.16,0.539637846,0.32940552
MIR3622B,0.3,0.3,0,0,0,0,0.1
TPP1,0.3,0.3,0.09,0.000675017,17.55,0.085198311,0.128624443
MIR766,0.3,0.3,0,0,7.97,0.038691199,0.112897066
MME,0.3,0.3,20.92,0.156903923,30.03,0.145783776,0.2008959
AGER,0.3,0.3,20.68,0.155103878,38.54,0.187096461,0.21406678
CAV1,0.29,0.29,14.08,0.10560264,53.1,0.257779504,0.217794048
NTRK2,0.29,0.29,17.74,0.133053326,62.63,0.304043886,0.242365737
PTGS1,0.28,0.28,16.37,0.122778069,63.59,0.308704306,0.237160792
APLP2,0.26,0.26,18.64,0.139803495,22.49,0.109180057,0.169661184
MFN2,0.26,0.26,2.27,0.017025426,38.06,0.184766251,0.153930559
DNM1,0.26,0.26,3.33,0.024975624,4.13,0.020049517,0.101675047
ADAM17,0.26,0.26,18.01,0.135078377,31.21,0.151512209,0.182196862
HSF1,0.25,0.25,1.25,0.009375234,34.99,0.169862615,0.143079283
IL33,0.24,0.24,1.55,0.011625291,20.52,0.099616486,0.117080592
HSPD1,0.24,0.24,1.87,0.014025351,54.2,0.263119569,0.17238164
GSR,0.24,0.24,14.99,0.112427811,82,0.398077577,0.250168463
CCR5,0.24,0.24,6.78,0.050851271,19.16,0.093014224,0.127955165
CASP8,0.23,0.23,17.59,0.131928298,81.8,0.397106656,0.253011651
CIB1,0.23,0.23,15.75,0.118127953,5.08,0.024661391,0.124263115
HSPB1,0.23,0.23,0.52,0.003900098,45.14,0.219136851,0.151012316
SERPINF1,0.22,0.22,1.54,0.011550289,36.12,0.175348318,0.135632869
IKBKB,0.22,0.22,1.35,0.010125253,57.64,0.279819409,0.169981554
ATP7A,0.21,0.21,1.05,0.007875197,28.5,0.138356231,0.118743809
BCL2L2,0.21,0.21,0.89,0.006675167,21.76,0.105636196,0.107437121
INS-IGF2,0.21,0.21,0,0,0,0,0.07
CASP9,0.21,0.21,16.86,0.126453161,73.8,0.358269819,0.231574327
ADAM9,0.21,0.21,1.11,0.008325208,30.69,0.148987815,0.122437674
MT2A,0.21,0.21,1.6,0.0120003,58.92,0.286033303,0.169344534
PLCB1,0.2,0.2,16.33,0.122478062,21.21,0.102966163,0.141814742
ABCA1,0.2,0.2,17.46,0.130953274,46.29,0.224719647,0.185224307
FERMT2,0.2,0.2,2.14,0.016050401,18.19,0.088305258,0.101451886
PTK2B,0.2,0.2,2.43,0.018225456,15.51,0.075294917,0.097840124
GAB2,0.2,0.2,9.08,0.068101703,10.26,0.049808243,0.105969982
GRN,0.2,0.2,34.94,0.262056551,15.17,0.073644352,0.178566968
CASP12,0.2,0.2,3.66,0.027450686,58.5,0.283994369,0.170481685
SQSTM1,0.2,0.2,17.85,0.133878347,72.34,0.351182096,0.228353481
HLA-DRB1,0.19,0.19,4.88,0.036600915,6.86,0.033302588,0.086634501
NFIC,0.18,0.18,1.5,0.011250281,11.88,0.057672703,0.082974328
HSPG2,0.17,0.17,15.78,0.118352959,34.44,0.167192582,0.151848514
CSF1R,0.17,0.17,17.67,0.132528313,30.86,0.149813098,0.15078047
APOB,0.17,0.17,15.37,0.115277882,49.74,0.241468032,0.175581971
MARK4,0.17,0.17,16.16,0.12120303,8.82,0.042817613,0.111340214
MS4A6A,0.17,0.17,3.34,0.025050626,11.54,0.056022137,0.083690921
VCP,0.16,0.16,18.74,0.140553514,18.8,0.091266566,0.130606693
CELF1,0.16,0.16,2.14,0.016050401,16.87,0.081897179,0.085982527
SYNJ1,0.16,0.16,6.83,0.051226281,4.71,0.022865188,0.07803049
ZCWPW1,0.15,0.15,2.23,0.016725418,2.39,0.011602505,0.059442641
MS4A4E,0.14,0.14,2.39,0.017925448,0,0,0.052641816
F13A1,0.14,0.14,2.34,0.017550439,28.2,0.13689985,0.098150096
APOC2,0.14,0.14,2.24,0.01680042,18.19,0.088305258,0.081701893
EXOC3L2,0.14,0.14,18.82,0.141153529,2.45,0.011893781,0.097682437
APH1B,0.14,0.14,15.37,0.115277882,10.1,0.049031506,0.101436463
AKAP9,0.13,0.13,1.76,0.01320033,14.44,0.07010049,0.071100273
MADD,0.13,0.13,1.76,0.01320033,13.56,0.065828438,0.069676256
ADAMTS4,0.13,0.13,16.72,0.125403135,19.97,0.096946454,0.117449863
PILRA,0.13,0.13,2.02,0.015150379,13.34,0.064760425,0.069970268
DST,0.13,0.13,1.73,0.012975324,20.13,0.09772319,0.080232838
PLXNA4,0.13,0.13,1.1,0.008250206,4.87,0.023641924,0.053964043
LAMP1,0.13,0.13,3.25,0.024375609,31.74,0.15408515,0.102820253
FRMD4A,0.13,0.13,16.24,0.121803045,15.52,0.075343463,0.109048836
IL6R,0.12,0.12,5.33,0.039975999,12.13,0.058886354,0.072954118
AICDA,0.12,0.12,1.07,0.008025201,5.46,0.026506141,0.051510447
GLIS3,0.12,0.12,1.43,0.010725268,4.49,0.021797175,0.050840814
MTHFD1L,0.12,0.12,8.85,0.066376659,16.97,0.08238264,0.089586433
SLC24A4,0.12,0.12,2.04,0.015300383,16.19,0.078596048,0.07129881
MEGF10,0.12,0.12,4.05,0.030375759,2.2,0.01068013,0.053685296
CADPS2,0.12,0.12,1.05,0.007875197,9.23,0.044808,0.057561066
SPI1,0.12,0.12,1.74,0.013050326,13.87,0.067333366,0.066794564
IL34,0.12,0.12,0.69,0.005175129,4.94,0.023981747,0.049718959
COL18A1,0.12,0.12,1.98,0.014850371,27.52,0.133598718,0.08948303
BCL3,0.12,0.12,1.81,0.013575339,42.05,0.204136123,0.112570487
TGFB2,0.12,0.12,1.69,0.012675317,24.79,0.120345648,0.084340322
SPON1,0.12,0.12,2.01,0.015075377,27.9,0.135443468,0.090172948
DCHS2,0.12,0.12,16.06,0.120453011,2.53,0.01228215,0.084245054
TRIP4,0.12,0.12,1.83,0.013725343,7.96,0.038642653,0.057455999
UBE2L3,0.11,0.11,3.31,0.024825621,20.26,0.098354289,0.077726637
ALDH1A2,0.11,0.11,1.05,0.007875197,18.57,0.090150007,0.069341735
OTOF,0.11,0.11,0.69,0.005175129,0,0,0.03839171
LUZP2,0.11,0.11,1.43,0.010725268,0,0,0.040241756
SLC16A7,0.11,0.11,0.09,0.000675017,6.19,0.030050002,0.04690834
CELF2,0.11,0.11,2.15,0.016125403,11.61,0.056361959,0.060829121
RBFOX1,0.11,0.11,0.78,0.005850146,3.56,0.017282392,0.044377513
ST6GAL1,0.11,0.11,2.07,0.015525388,19.47,0.094519151,0.07334818
TLN2,0.11,0.11,1.79,0.013425336,13.13,0.063740958,0.062388765
MAPK7,0.11,0.11,1.07,0.008025201,6.94,0.033690956,0.050572052
EXOC4,0.11,0.11,1.76,0.01320033,2.07,0.010049032,0.044416454
PTPRG,0.11,0.11,1.43,0.010725268,18.49,0.089761639,0.070162302
NDUFAF6,0.11,0.11,1.81,0.013575339,14.39,0.06985776,0.0644777
SGK1,0.11,0.11,1.62,0.012150304,40.37,0.195980387,0.106043564
EPHX2,0.11,0.11,1.71,0.012825321,20,0.097092092,0.073305804
FMN2,0.11,0.11,1.52,0.011400285,4.71,0.022865188,0.048088491
SUCLG2,0.11,0.11,1.43,0.010725268,12.14,0.0589349,0.059886723
TCF7L2,0.11,0.11,1.87,0.014025351,17.1,0.083013739,0.06901303
AP2A2,0.11,0.11,2.17,0.016275407,8.08,0.039225205,0.055166871
LAMA1,0.11,0.11,1.86,0.013950349,8.74,0.042429244,0.055459864
OSBPL6,0.11,0.11,1.43,0.010725268,9.98,0.048448954,0.056391407
CDH13,0.11,0.11,1.52,0.011400285,27.34,0.13272489,0.084708392
ZAP70,0.11,0.11,1.05,0.007875197,6.77,0.032865673,0.050246957
SPPL2A,0.11,0.11,2.33,0.017475437,4.69,0.022768096,0.050081178
TSPOAP1-AS1,0.11,0.11,0.97,0.007275182,0,0,0.039091727
DSG2,0.11,0.11,0.69,0.005175129,12.79,0.062090393,0.059088507
SORCS3,0.11,0.11,15.94,0.119552989,8.5,0.041264139,0.090272376
DAPK2,0.1,0.1,0.36,0.002700068,9.87,0.047914947,0.050205005
NKAIN2,0.1,0.1,1.5,0.011250281,2.82,0.013689985,0.041646755
MTOR,0.1,0.1,16.48,0.12360309,62.93,0.305500267,0.176367786
CASTOR3,0.1,0.1,0.69,0.005175129,2.51,0.012185058,0.039120062
MIR107,0.1,0.1,26.93,0.20198005,13.03,0.063255498,0.121745183
IFNG,0.1,0.1,5.37,0.040276007,89.6,0.434972571,0.191749526
NKAIN3,0.1,0.1,0.69,0.005175129,2.05,0.009951939,0.038375689
CDR1,0.1,0.1,4.89,0.036675917,7.06,0.034273508,0.056983142
MEIKIN,0.1,0.1,0.69,0.005175129,0,0,0.035058376
PARVB,0.1,0.1,1.5,0.011250281,7.92,0.038448468,0.049899583
G3BP1,0.1,0.1,1.64,0.012300308,15.51,0.075294917,0.062531742
TH,0.1,0.1,16.32,0.12240306,60.96,0.295936696,0.172779919
HCRT,0.1,0.1,15.73,0.117977949,5.43,0.026360503,0.081446151
PIK3CD,0.1,0.1,0.96,0.00720018,3.82,0.01854459,0.041914923
RAPGEF6,0.1,0.1,0.69,0.005175129,11.18,0.054274479,0.053149869
LINC01672,0.1,0.1,0,0,0,0,0.033333333
STK32B,0.1,0.1,1.78,0.013350334,5.46,0.026506141,0.046618825
ESR2,0.1,0.1,15.36,0.11520288,36.87,0.178989271,0.131397384
UPK3B,0.1,0.1,0,0,5.6,0.027185786,0.042395262
EPO,0.1,0.1,0.52,0.003900098,74.78,0.363027331,0.155642476
CEACAM19,0.1,0.1,0.69,0.005175129,10.66,0.051750085,0.052308405
NUP62,0.1,0.1,0.13,0.000975024,17.44,0.084664304,0.061879776
AKT1,0.1,0.1,16.22,0.121653041,73.42,0.356425069,0.192692703
BCAM,0.1,0.1,6.37,0.047776194,17.97,0.087237245,0.078337813
EPHB2,0.1,0.1,2.17,0.016275407,3.98,0.019321326,0.045198911
LPL,0.1,0.1,17.9,0.134253356,49.95,0.242487499,0.158913618
CACNA1G,0.1,0.1,9.18,0.068851721,10.88,0.052818098,0.07388994
BACE1-AS,0.1,0.1,15.52,0.11640291,3.76,0.018253313,0.078218741
PALM2AKAP2,0.1,0.1,0.09,0.000675017,7.48,0.036312442,0.045662486
MNAT1,0.1,0.1,0,0,1.93,0.009369387,0.036456462
APH1A,0.1,0.1,19.42,0.145653641,8.66,0.042040876,0.095898172
RTN3,0.1,0.1,15.2,0.11400285,14.7,0.071362688,0.095121846
DMXL1,0.1,0.1,1.5,0.011250281,4.73,0.02296228,0.04473752
KDM1B,0.1,0.1,0.69,0.005175129,8.28,0.040196126,0.048457085
COL12A1,0.1,0.1,0.69,0.005175129,23.15,0.112384096,0.072519742
BACE2,0.1,0.1,25.91,0.194329858,12.57,0.06102238,0.118450746
DCTN4,0.1,0.1,4.59,0.034425861,8.51,0.041312685,0.058579515
KHDRBS1,0.1,0.1,1.04,0.007800195,13.32,0.064663333,0.057487843
FAS,0.1,0.1,17.84,0.133803345,67.37,0.327054711,0.186952685
PPP1R42,0.1,0.1,0.69,0.005175129,0,0,0.035058376
STH,0.1,0.1,15.51,0.116327908,4.16,0.020195155,0.078841021
ACSL6,0.1,0.1,0.69,0.005175129,13.07,0.063449682,0.05620827
APOC4-APOC2,0.1,0.1,0.69,0.005175129,0,0,0.035058376
PHF14,0.1,0.1,0.69,0.005175129,10.89,0.052866644,0.052680591
ANKRD55,0.1,0.1,1.5,0.011250281,0,0,0.037083427
HPGDS,0.1,0.1,0,0,19.5,0.09466479,0.064888263
TNRC6A,0.1,0.1,0.69,0.005175129,6.85,0.033254041,0.046143057
SERPINE1,0.1,0.1,2.96,0.022200555,64.29,0.312102529,0.144767695
PRKCB,0.1,0.1,15.18,0.113852846,39.3,0.19078596,0.134879602
EDEM2,0.1,0.1,0,0,8.21,0.039856304,0.046618768
NEFL,0.1,0.1,16.99,0.127428186,14.44,0.07010049,0.099176225
CASP1,0.1,0.1,14.82,0.111152779,58.83,0.285596388,0.165583056
TMC5,0.1,0.1,0.69,0.005175129,24.56,0.119229089,0.074801406
CREB1,0.1,0.1,15.66,0.117452936,67.43,0.327345988,0.181599641
LINC01567,0.1,0.1,1.5,0.011250281,0,0,0.037083427
EPHA1-AS1,0.1,0.1,1.85,0.013875347,0,0,0.037958449
GIP,0.1,0.1,0,0,4.89,0.023739016,0.041246339
CRADD,0.1,0.1,1.93,0.014475362,11.12,0.053983203,0.056152855
SST,0.1,0.1,8.32,0.06240156,26.55,0.128889752,0.097097104
TFEB,0.1,0.1,1.24,0.009300233,10.06,0.048837322,0.052712518
CHRNA4,0.1,0.1,14.97,0.112277807,38.6,0.187387737,0.133221848
GCG,0.1,0.1,14.21,0.106577664,15.32,0.074372542,0.093650069
TPPP,0.1,0.1,5.45,0.040876022,12.12,0.058837808,0.066571277
IL1A,0.1,0.1,20.63,0.154728868,47.68,0.231467547,0.162065472
ANKRD31,0.1,0.1,0.69,0.005175129,0,0,0.035058376
C3,0.1,0.1,1.65,0.012375309,43.5,0.2111753,0.107850203
FARP1,0.1,0.1,1.6,0.0120003,9.45,0.045876013,0.052625438
TRPC4AP,0.1,0.1,5.73,0.042976074,5.16,0.02504976,0.056008611
IL17A,0.1,0.1,0.82,0.006150154,46.69,0.226661488,0.110937214
CCDC83,0.1,0.1,0.69,0.005175129,6.34,0.030778193,0.045317774
NPC1,0.1,0.1,15.1,0.113252831,30.32,0.147191611,0.120148147
LIPG,0.1,0.1,1.22,0.009150229,27.89,0.135394922,0.08151505
IL2RB,0.1,0.1,0,0,6.05,0.029370358,0.043123453
THY1,0.1,0.1,0,0,18.86,0.091557843,0.063852614
LINC01712,0.1,0.1,0.69,0.005175129,0,0,0.035058376
CLOCK,0.1,0.1,4.14,0.031050776,15.45,0.075003641,0.068684806
RPSA,0.1,0.1,1.5,0.011250281,18.91,0.091800573,0.067683618
CCDC134,0.1,0.1,1.02,0.007650191,2.27,0.011019952,0.039556714
MPZL1,0.1,0.1,1.43,0.010725268,16.19,0.078596048,0.063107105
PVALB,0.1,0.1,15.59,0.116927923,14.61,0.070925773,0.095951232
RELB,0.1,0.1,0.69,0.005175129,31.02,0.150589834,0.085254988
POTEKP,0.1,0.1,0,0,0,0,0.033333333
SLC25A48,0.1,0.1,0.69,0.005175129,9.54,0.046312928,0.050496019
ENO2,0.1,0.1,2.32,0.017400435,25.86,0.125540075,0.08098017
CNTNAP2,0.1,0.1,4.28,0.032100803,4.12,0.020000971,0.050700591
UBB,0.1,0.1,19.57,0.146778669,34.31,0.166561484,0.137780051
DENR,0.1,0.1,1.73,0.012975324,18.42,0.089421817,0.067465714
GEMIN7-AS1,0.1,0.1,0.69,0.005175129,0,0,0.035058376
LRRK2,0.1,0.1,19.98,0.149853746,19.4,0.094179329,0.114677692
CYCS,0.1,0.1,17.57,0.131778294,56.36,0.273605515,0.16846127
TGM6,0.1,0.1,1.5,0.011250281,0,0,0.037083427
SYBU,0.1,0.1,0,0,13.42,0.065148794,0.055049598
IAPP,0.1,0.1,10.06,0.075451886,22.27,0.108112044,0.09452131
CX3CL1,0.1,0.1,1.54,0.011550289,30.71,0.149084907,0.086878399
CUX1,0.1,0.1,0,0,19.5,0.09466479,0.064888263
SPRED2,0.1,0.1,0.69,0.005175129,9.62,0.046701296,0.050625475
LPA,0.1,0.1,2.12,0.015900398,9.05,0.043934172,0.05327819
LINC02008,0.1,0.1,0.69,0.005175129,0,0,0.035058376
CD40,0.1,0.1,16.5,0.123753094,39.02,0.189426671,0.137726588
PLPP4,0.1,0.1,1.5,0.011250281,2.65,0.012864702,0.041371661
CDK5R1,0.1,0.1,23.09,0.173179329,8.71,0.042283606,0.105154312
TNFRSF1B,0.1,0.1,4.61,0.034575864,29.89,0.145104131,0.093226665
PPP1R3B,0.1,0.1,1.75,0.013125328,8.15,0.039565027,0.050896785
DCAF7,0.1,0.1,1.07,0.008025201,14.68,0.071265595,0.059763599
PNPLA7,0.1,0.1,0.69,0.005175129,7.08,0.034370601,0.046515243
ARL17B,0.1,0.1,0.69,0.005175129,7.66,0.037186271,0.0474538
HCLS1,0.1,0.1,1.43,0.010725268,7.61,0.036943541,0.049222936
KL,0.1,0.1,0.81,0.006075152,27.8,0.134958008,0.080344387
TCAM1P,0.1,0.1,0.69,0.005175129,0,0,0.035058376
CHN2,0.1,0.1,3.14,0.023550589,12,0.058255255,0.060601948
HTR2A,0.1,0.1,29.59,0.221930548,31.62,0.153502597,0.158477715
PDE5A,0.1,0.1,0.51,0.003825096,31.85,0.154619156,0.086148084
SCARB1,0.1,0.1,2.67,0.020025501,37.61,0.182581679,0.10086906
SIRT3,0.1,0.1,1.67,0.012525313,38.88,0.188747027,0.100424113
UBQLN1,0.1,0.1,18.04,0.135303383,15.52,0.075343463,0.103548949
HERC2,0.1,0.1,0.69,0.005175129,7.4,0.035924074,0.047033068
CDCA5,0.1,0.1,0.81,0.006075152,21.17,0.102771979,0.06961571
IL6-AS1,0.1,0.1,1.05,0.007875197,0,0,0.035958399
BLOC1S3,0.1,0.1,6.05,0.045376134,2.43,0.011796689,0.052390941
CXCL8,0.1,0.1,4.89,0.036675917,92.37,0.448419826,0.195031914
CDKAL1,0.1,0.1,1.43,0.010725268,10.5,0.050973348,0.053899539
SNCB,0.1,0.1,35.28,0.264606615,10.55,0.051216078,0.138607564
ACTG2,0.1,0.1,0.54,0.004050101,27.16,0.131851061,0.078633721
DBN1,0.1,0.1,20.23,0.151728793,29.25,0.141997184,0.131241992
IL12A,0.1,0.1,1.05,0.007875197,31.28,0.151852032,0.086575743
RAC1,0.1,0.1,1.35,0.010125253,37.51,0.182096218,0.097407157
TENM3-AS1,0.1,0.1,0.36,0.002700068,0,0,0.034233356
PTPA,0.1,0.1,15.64,0.117302933,1.97,0.009563571,0.075622168
ABCA8,0.1,0.1,1.07,0.008025201,10.54,0.051167532,0.053064244
GAP43,0.1,0.1,15.93,0.119477987,20.69,0.100441769,0.106639919
TTR,0.1,0.1,17.58,0.131853296,25.07,0.121704937,0.117852744
ABCA2,0.1,0.1,14.29,0.107177679,4.4,0.02136026,0.076179313
PIK3CA,0.1,0.1,14.62,0.109652741,20.04,0.097286276,0.102313006
C3orf67,0.1,0.1,0,0,0,0,0.033333333
MOK,0.1,0.1,0,0,10.74,0.052138453,0.050712818
PCSK9,0.1,0.1,1.85,0.013875347,18.86,0.091557843,0.06847773
