#node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
MPO,NOS2,9606.ENSP00000225275,9606.ENSP00000327251,0,0,0,0,0,0.157,0,0.595,0.644
MPO,NOS3,9606.ENSP00000225275,9606.ENSP00000297494,0,0,0,0,0,0.157,0,0.633,0.677
MPO,PTGS2,9606.ENSP00000225275,9606.ENSP00000356438,0,0,0,0,0.065,0,0,0.691,0.699
NOS2,PPARG,9606.ENSP00000327251,9606.ENSP00000287820,0,0,0,0,0.062,0.091,0,0.417,0.459
NOS2,NOS3,9606.ENSP00000327251,9606.ENSP00000297494,0,0,0.447,0.944,0,0,0.8,0.814,0.813
NOS2,PTGS2,9606.ENSP00000327251,9606.ENSP00000356438,0,0,0,0,0.063,0.299,0,0.868,0.906
NOS3,PPARG,9606.ENSP00000297494,9606.ENSP00000287820,0,0,0,0,0.053,0.091,0,0.741,0.757
NOS3,PTGS2,9606.ENSP00000297494,9606.ENSP00000356438,0,0,0,0,0,0.261,0,0.786,0.835
PLAU,PTGS2,9606.ENSP00000361850,9606.ENSP00000356438,0,0,0,0,0.102,0.057,0,0.481,0.522
PPARG,PTGS2,9606.ENSP00000287820,9606.ENSP00000356438,0,0,0,0,0,0.05,0,0.817,0.819
