Category,ID,Description,BgRatio,pvalue,padjust,qvalue,geneID,gene_name,rankScore,Count
BP,GO:0045766,positive regulation of angiogenesis,200/18493,2.71E-10,1.49E-08,5.20E-09,6774/7422/3576/3553/5743/3586/4846/5054/3162,"STAT3,VEGFA,CXCL8,IL1B,PTGS2,IL10,NOS3,SERPINE1,HMOX1",0.649539594,9
BP,GO:0045429,positive regulation of nitric oxide biosynthetic process,42/18493,2.92E-10,1.55E-08,5.38E-09,207/3553/5743/3383/3458/948,"AKT1,IL1B,PTGS2,ICAM1,IFNG,CD36",0.384291626,6
BP,GO:1904407,positive regulation of nitric oxide metabolic process,42/18493,2.92E-10,1.55E-08,5.38E-09,207/3553/5743/3383/3458/948,"AKT1,IL1B,PTGS2,ICAM1,IFNG,CD36",0.384291626,6
BP,GO:2001233,regulation of apoptotic signaling pathway,391/18493,3.23E-10,1.68E-08,5.85E-09,3630/207/7157/3553/4318/5743/3383/4846/5054/3162/596,"INS,AKT1,TP53,IL1B,MMP9,PTGS2,ICAM1,NOS3,SERPINE1,HMOX1,BCL2",0.758781646,11
BP,GO:0050880,regulation of blood vessel size,136/18493,3.53E-10,1.80E-08,6.27E-09,3630/207/1401/5743/3383/4846/3162/3156,"INS,AKT1,CRP,PTGS2,ICAM1,NOS3,HMOX1,HMGCR",0.551678389,8
BP,GO:1903037,regulation of leukocyte cell-cell adhesion,293/18493,3.62E-10,1.82E-08,6.31E-09,3569/207/6347/3553/3586/3383/7412/836/3458/959,"IL6,AKT1,CCL2,IL1B,IL10,ICAM1,VCAM1,CASP3,IFNG,CD40LG",0.710776861,10
BP,GO:0035150,regulation of tube size,137/18493,3.74E-10,1.84E-08,6.38E-09,3630/207/1401/5743/3383/4846/3162/3156,"INS,AKT1,CRP,PTGS2,ICAM1,NOS3,HMOX1,HMGCR",0.551105499,8
BP,GO:0045785,positive regulation of cell adhesion,397/18493,3.80E-10,1.84E-08,6.38E-09,3569/207/6347/7422/3553/3586/3383/7412/3458/959/948,"IL6,AKT1,CCL2,VEGFA,IL1B,IL10,ICAM1,VCAM1,IFNG,CD40LG,CD36",0.737083513,11
BP,GO:1901342,regulation of vasculature development,421/18493,7.06E-10,3.35E-08,1.17E-08,3569/6774/7422/3576/3553/5743/5468/3586/4846/5054/3162,"IL6,STAT3,VEGFA,CXCL8,IL1B,PTGS2,PPARG,IL10,NOS3,SERPINE1,HMOX1",0.777129288,11
BP,GO:0001819,positive regulation of cytokine production,422/18493,7.24E-10,3.38E-08,1.17E-08,3569/3630/3553/5743/3586/5054/3458/3162/959/4023/948,"IL6,INS,IL1B,PTGS2,IL10,SERPINE1,IFNG,HMOX1,CD40LG,LPL,CD36",0.674414672,11
BP,GO:0097191,extrinsic apoptotic signaling pathway,224/18493,7.39E-10,3.39E-08,1.18E-08,207/3553/3383/836/4846/5054/3458/3162/596,"AKT1,IL1B,ICAM1,CASP3,NOS3,SERPINE1,IFNG,HMOX1,BCL2",0.554982379,9
BP,GO:1904018,positive regulation of vasculature development,228/18493,8.64E-10,3.89E-08,1.35E-08,6774/7422/3576/3553/5743/3586/4846/5054/3162,"STAT3,VEGFA,CXCL8,IL1B,PTGS2,IL10,NOS3,SERPINE1,HMOX1",0.614998961,9
BP,GO:1904951,positive regulation of establishment of protein localization,437/18493,1.05E-09,4.59E-08,1.60E-08,3569/3630/7157/3553/5743/3586/5594/3458/4023/596/1080,"IL6,INS,TP53,IL1B,PTGS2,IL10,MAPK1,IFNG,LPL,BCL2,CFTR",0.662846041,11
BP,GO:0007159,leukocyte cell-cell adhesion,327/18493,1.05E-09,4.59E-08,1.60E-08,3569/207/6347/3553/3586/3383/7412/836/3458/959,"IL6,AKT1,CCL2,IL1B,IL10,ICAM1,VCAM1,CASP3,IFNG,CD40LG",0.673813369,10
BP,GO:0050708,regulation of protein secretion,438/18493,1.07E-09,4.60E-08,1.60E-08,3569/3630/1401/3553/3586/3458/4843/959/4023/3156/1080,"IL6,INS,CRP,IL1B,IL10,IFNG,NOS2,CD40LG,LPL,HMGCR,CFTR",0.628458579,11
BP,GO:0001101,response to acid chemical,332/18493,1.22E-09,5.14E-08,1.79E-08,207/7422/5743/5468/3383/836/847/4313/5444/948,"AKT1,VEGFA,PTGS2,PPARG,ICAM1,CASP3,CAT,MMP2,PON1,CD36",0.583416809,10
BP,GO:0003018,vascular process in circulatory system,161/18493,1.36E-09,5.64E-08,1.96E-08,3630/207/1401/5743/3383/4846/3162/3156,"INS,AKT1,CRP,PTGS2,ICAM1,NOS3,HMOX1,HMGCR",0.516361768,8
BP,GO:1903428,positive regulation of reactive oxygen species biosynthetic process,55/18493,1.58E-09,6.48E-08,2.25E-08,207/3553/5743/3383/3458/948,"AKT1,IL1B,PTGS2,ICAM1,IFNG,CD36",0.353696785,6
BP,GO:2001237,negative regulation of extrinsic apoptotic signaling pathway,104/18493,1.92E-09,7.77E-08,2.70E-08,207/3553/3383/4846/5054/3162/596,"AKT1,IL1B,ICAM1,NOS3,SERPINE1,HMOX1,BCL2",0.407557818,7
BP,GO:0002791,regulation of peptide secretion,465/18493,2.01E-09,7.89E-08,2.74E-08,3569/3630/1401/3553/3586/3458/4843/959/4023/3156/1080,"IL6,INS,CRP,IL1B,IL10,IFNG,NOS2,CD40LG,LPL,HMGCR,CFTR",0.608380898,11
BP,GO:0022409,positive regulation of cell-cell adhesion,251/18493,2.01E-09,7.89E-08,2.74E-08,3569/207/6347/3553/3586/3383/7412/3458/959,"IL6,AKT1,CCL2,IL1B,IL10,ICAM1,VCAM1,IFNG,CD40LG",0.590089374,9
BP,GO:0032963,collagen metabolic process,106/18493,2.20E-09,8.50E-08,2.96E-08,3569/4318/5468/4313/4312/4314/2147,"IL6,MMP9,PPARG,MMP2,MMP1,MMP3,F2",0.409022819,7
BP,GO:0062012,regulation of small molecule metabolic process,355/18493,2.32E-09,8.84E-08,3.08E-08,3630/207/6774/3553/5743/5468/4846/3458/4843/3156,"INS,AKT1,STAT3,IL1B,PTGS2,PPARG,NOS3,IFNG,NOS2,HMGCR",0.625329211,10
BP,GO:0034612,response to tumor necrosis factor,257/18493,2.48E-09,9.20E-08,3.20E-08,207/6347/3576/5743/5594/3383/7412/836/959,"AKT1,CCL2,CXCL8,PTGS2,MAPK1,ICAM1,VCAM1,CASP3,CD40LG",0.570234309,9
BP,GO:1904019,epithelial cell apoptotic process,108/18493,2.51E-09,9.20E-08,3.20E-08,3569/6347/3586/3383/5054/3162/959,"IL6,CCL2,IL10,ICAM1,SERPINE1,HMOX1,CD40LG",0.436477488,7
BP,GO:0010038,response to metal ion,358/18493,2.52E-09,9.20E-08,3.20E-08,207/4318/5743/5594/3383/7412/836/3162/847/596,"AKT1,MMP9,PTGS2,MAPK1,ICAM1,VCAM1,CASP3,HMOX1,CAT,BCL2",0.591564413,10
BP,GO:1901652,response to peptide,481/18493,2.86E-09,1.03E-07,3.58E-08,3630/207/6774/7157/3553/5743/5468/3586/3383/847/948,"INS,AKT1,STAT3,TP53,IL1B,PTGS2,PPARG,IL10,ICAM1,CAT,CD36",0.692927649,11
BP,GO:0007263,nitric oxide mediated signal transduction,28/18493,3.03E-09,1.08E-07,3.75E-08,3630/7422/4846/4843/948,"INS,VEGFA,NOS3,NOS2,CD36",0.274219991,5
BP,GO:0010743,regulation of macrophage derived foam cell differentiation,30/18493,4.38E-09,1.54E-07,5.34E-08,1401/5468/4023/1071/948,"CRP,PPARG,LPL,CETP,CD36",0.208439749,5
BP,GO:0071453,cellular response to oxygen levels,187/18493,4.43E-09,1.54E-07,5.34E-08,207/7422/7157/5743/5468/3383/3162/596,"AKT1,VEGFA,TP53,PTGS2,PPARG,ICAM1,HMOX1,BCL2",0.469730535,8
BP,GO:0019915,lipid storage,66/18493,4.87E-09,1.67E-07,5.80E-08,3569/1401/3553/5468/4023/948,"IL6,CRP,IL1B,PPARG,LPL,CD36",0.328677769,6
BP,GO:0022407,regulation of cell-cell adhesion,388/18493,5.44E-09,1.84E-07,6.40E-08,3569/207/6347/3553/3586/3383/7412/836/3458/959,"IL6,AKT1,CCL2,IL1B,IL10,ICAM1,VCAM1,CASP3,IFNG,CD40LG",0.618409771,10
BP,GO:1900180,regulation of protein localization to nucleus,121/18493,5.57E-09,1.86E-07,6.47E-08,3630/207/5743/5594/3458/2147/948,"INS,AKT1,PTGS2,MAPK1,IFNG,F2,CD36",0.385453998,7
BP,GO:0051222,positive regulation of protein transport,402/18493,7.63E-09,2.52E-07,8.76E-08,3569/3630/7157/3553/5743/3586/5594/3458/4023/1080,"IL6,INS,TP53,IL1B,PTGS2,IL10,MAPK1,IFNG,LPL,CFTR",0.576403231,10
BP,GO:0060326,cell chemotaxis,295/18493,8.25E-09,2.69E-07,9.35E-08,3569/6347/7422/3576/3553/3586/7412/5054/7941,"IL6,CCL2,VEGFA,CXCL8,IL1B,IL10,VCAM1,SERPINE1,PLA2G7",0.530646123,9
BP,GO:0032103,positive regulation of response to external stimulus,297/18493,8.75E-09,2.82E-07,9.80E-08,3569/7422/3576/3553/5743/5054/2147/4023/7941,"IL6,VEGFA,CXCL8,IL1B,PTGS2,SERPINE1,F2,LPL,PLA2G7",0.484224017,9
BP,GO:0050863,regulation of T cell activation,305/18493,1.10E-08,3.51E-07,1.22E-07,3569/207/6347/3553/3586/7412/836/3458/959,"IL6,AKT1,CCL2,IL1B,IL10,VCAM1,CASP3,IFNG,CD40LG",0.535144128,9
BP,GO:0010742,macrophage derived foam cell differentiation,36/18493,1.15E-08,3.57E-07,1.24E-07,1401/5468/4023/1071/948,"CRP,PPARG,LPL,CETP,CD36",0.197222121,5
BP,GO:0090077,foam cell differentiation,36/18493,1.15E-08,3.57E-07,1.24E-07,1401/5468/4023/1071/948,"CRP,PPARG,LPL,CETP,CD36",0.197222121,5
BP,GO:1903039,positive regulation of leukocyte cell-cell adhesion,214/18493,1.28E-08,3.92E-07,1.36E-07,3569/207/6347/3553/3383/7412/3458/959,"IL6,AKT1,CCL2,IL1B,ICAM1,VCAM1,IFNG,CD40LG",0.474071625,8
BP,GO:1900182,positive regulation of protein localization to nucleus,78/18493,1.35E-08,4.11E-07,1.43E-07,3630/207/5743/5594/3458/2147,"INS,AKT1,PTGS2,MAPK1,IFNG,F2",0.350905166,6
BP,GO:0048608,reproductive structure development,428/18493,1.39E-08,4.14E-07,1.44E-07,207/7422/5743/5468/3586/5594/3383/836/4846/596,"AKT1,VEGFA,PTGS2,PPARG,IL10,MAPK1,ICAM1,CASP3,NOS3,BCL2",0.551620847,10
BP,GO:0045834,positive regulation of lipid metabolic process,138/18493,1.39E-08,4.14E-07,1.44E-07,3630/207/3553/5743/5468/3458/2147,"INS,AKT1,IL1B,PTGS2,PPARG,IFNG,F2",0.413216822,7
BP,GO:0030595,leukocyte chemotaxis,217/18493,1.42E-08,4.18E-07,1.45E-07,3569/6347/7422/3576/3553/3586/5054/7941,"IL6,CCL2,VEGFA,CXCL8,IL1B,IL10,SERPINE1,PLA2G7",0.459262747,8
BP,GO:0061458,reproductive system development,431/18493,1.48E-08,4.31E-07,1.50E-07,207/7422/5743/5468/3586/5594/3383/836/4846/596,"AKT1,VEGFA,PTGS2,PPARG,IL10,MAPK1,ICAM1,CASP3,NOS3,BCL2",0.550167283,10
BP,GO:0051235,maintenance of location,318/18493,1.58E-08,4.50E-07,1.57E-07,3569/207/1401/3553/5468/3586/2147/4023/948,"IL6,AKT1,CRP,IL1B,PPARG,IL10,F2,LPL,CD36",0.470977961,9
BP,GO:1903829,positive regulation of cellular protein localization,318/18493,1.58E-08,4.50E-07,1.57E-07,3630/207/7157/3553/5743/5594/3458/2147/596,"INS,AKT1,TP53,IL1B,PTGS2,MAPK1,IFNG,F2,BCL2",0.491008906,9
BP,GO:0097756,negative regulation of blood vessel diameter,81/18493,1.70E-08,4.79E-07,1.67E-07,3630/207/1401/5743/3383/3156,"INS,AKT1,CRP,PTGS2,ICAM1,HMGCR",0.344310755,6
BP,GO:0071496,cellular response to external stimulus,328/18493,2.07E-08,5.76E-07,2.00E-07,207/7157/3553/5743/5468/5594/3383/3162/596,"AKT1,TP53,IL1B,PTGS2,PPARG,MAPK1,ICAM1,HMOX1,BCL2",0.485060895,9
BP,GO:0070542,response to fatty acid,84/18493,2.12E-08,5.85E-07,2.04E-07,207/5743/5468/847/5444/948,"AKT1,PTGS2,PPARG,CAT,PON1,CD36",0.278082188,6
BP,GO:1904035,regulation of epithelial cell apoptotic process,85/18493,2.28E-08,6.22E-07,2.16E-07,3569/6347/3383/5054/3162/959,"IL6,CCL2,ICAM1,SERPINE1,HMOX1,CD40LG",0.328622434,6
BP,GO:0097305,response to alcohol,231/18493,2.31E-08,6.26E-07,2.18E-07,207/6774/5468/3383/7412/847/3156/1080,"AKT1,STAT3,PPARG,ICAM1,VCAM1,CAT,HMGCR,CFTR",0.390101326,8
BP,GO:0097237,cellular response to toxic substance,235/18493,2.64E-08,7.08E-07,2.46E-07,3569/5743/3586/4846/4353/3162/847/948,"IL6,PTGS2,IL10,NOS3,MPO,HMOX1,CAT,CD36",0.403892689,8
BP,GO:2001236,regulation of extrinsic apoptotic signaling pathway,156/18493,3.26E-08,8.59E-07,2.99E-07,207/3553/3383/4846/5054/3162/596,"AKT1,IL1B,ICAM1,NOS3,SERPINE1,HMOX1,BCL2",0.347712858,7
BP,GO:0001505,regulation of neurotransmitter levels,346/18493,3.27E-08,8.59E-07,2.99E-07,207/3553/5743/3586/3383/4846/3458/4843/948,"AKT1,IL1B,PTGS2,IL10,ICAM1,NOS3,IFNG,NOS2,CD36",0.446836539,9
