ID,Description,BgRatio,pvalue,padjust,qvalue,geneID,gene_name,rankScore,Count
hsa05170,Human immunodeficiency virus 1 infection,212/8077,0.007755049,0.025054773,0.012558783,836/596/581,"CASP3,BCL2,BAX",0.039021675,3
hsa05120,Epithelial cell signaling in Helicobacter pylori infection,70/8077,0.008214659,0.025876176,0.012970514,836/102,"CASP3,ADAM10",0.033955047,2
hsa05133,Pertussis,76/8077,0.00962754,0.029587073,0.014830613,836/4843,"CASP3,NOS2",0.032863445,2
hsa05140,Leishmaniasis,77/8077,0.009872896,0.029618687,0.01484646,4843/5743,"NOS2,PTGS2",0.027492271,2
hsa05131,Shigellosis,246/8077,0.011650417,0.033711426,0.016897958,2932/596/581,"GSK3B,BCL2,BAX",0.026065565,3
hsa05012,Parkinson disease,249/8077,0.012039795,0.033711426,0.016897958,4137/836/581,"MAPT,CASP3,BAX",0.041457474,3
hsa05132,Salmonella infection,249/8077,0.012039795,0.033711426,0.016897958,836/596/581,"CASP3,BCL2,BAX",0.035880495,3
hsa04211,Longevity regulating pathway,89/8077,0.013032042,0.035696463,0.017892964,581/5468,"BAX,PPARG",0.019122748,2
hsa05020,Prion disease,273/8077,0.015428939,0.041093145,0.020598068,836/2932/581,"CASP3,GSK3B,BAX",0.039195701,3
hsa01522,Endocrine resistance,98/8077,0.015654531,0.041093145,0.020598068,596/581,"BCL2,BAX",0.013233423,2
hsa05142,Chagas disease,102/8077,0.016887512,0.042556531,0.021331595,1636/4843,"ACE,NOS2",0.01989888,2
hsa05146,Amoebiasis,102/8077,0.016887512,0.042556531,0.021331595,836/4843,"CASP3,NOS2",0.029470176,2
hsa04931,Insulin resistance,108/8077,0.018812884,0.04647889,0.023297689,2932/4846,"GSK3B,NOS3",0.022726801,2
hsa04668,TNF signaling pathway,112/8077,0.020146143,0.048701564,0.024411811,836/5743,"CASP3,PTGS2",0.034311533,2
hsa04725,Cholinergic synapse,113/8077,0.020485578,0.048701564,0.024411811,596/43,"BCL2,ACHE",0.015025858,2
hsa05016,Huntington disease,306/8077,0.020900311,0.048767393,0.024444808,836/581/5468,"CASP3,BAX,PPARG",0.036781348,3
